Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-88.467,0
-0.09,-87.316,0
-0.08,-86.109,0
-0.07,-84.84,0
-0.06,-83.506,0
-0.05,-82.103,0
-0.04,-80.633,0
-0.03,-79.102,0
-0.02,-77.522,0
-0.01,-75.913,0
-0.0,-74.3,0
0.01,-72.711,0
0.02,-71.169,0
0.03,-69.694,0
0.04,-68.298,0
0.05,-66.983,0
0.06,-65.751,0
0.07,-64.597,0
0.08,-63.516,0
0.09,-62.502,0
0.1,-61.549,0
0.11,-60.652,0
0.12,-59.805,0
0.13,-59.004,0
0.14,-58.246,0
0.15,-57.527,0
0.16,-56.844,0
0.17,-56.195,0
0.18,-55.578,0
0.19,-54.989,0
0.2,-54.429,0
0.21,-53.895,0
0.22,-53.386,0
0.23,-52.899,0
0.24,-52.435,0
0.25,-51.99,0
0.26,-51.566,0
0.27,-51.159,0
0.28,-50.769,1
0.29,-50.395,1
0.3,-50.035,1
0.31,-49.691,1
0.32,-49.359,1
0.33,-49.038,1
0.34,-48.73,1
0.35,-48.433,1
0.36,-48.145,1
0.37,-47.867,1
0.38,-47.599,1
0.39,-47.338,1
0.4,-47.085,1
0.41,-46.84,1
0.42,-46.602,1
0.43,-46.37,1
0.44,-46.145,1
0.45,-45.925,1
0.46,-45.711,1
0.47,-45.503,1
0.48,-45.299,1
0.49,-45.1,1
