Parameter,Global_fit,Local_fit,Change
gna,118.40536915321586,118.40537521204996,6.058834102873334e-06
gkht,158.09520548511298,158.09516696659503,-3.8518517953889386e-05
gklt,3.6140600923693835,3.6140591677073197,-9.246620638059255e-07
gh,10.379746686252627,10.379747217387017,5.311343898029008e-07
gka,97.37374864569874,97.37372373249615,-2.4913202594234463e-05
gleak,4.620124594647458,4.620124592283326,-2.3641320012757205e-09
stim_amp,0.039999235197567526,0.039999236586306074,1.3887385477695524e-09
cam,60.88255239385072,60.88255550922706,3.1153763373481524e-06
kam,0.03343856394174205,0.03343856222743258,-1.714309472156117e-09
cbm,5.6707321063029115,5.670731816130036,-2.901728750615007e-07
kbm,-0.038471676080419466,-0.03847167872001751,-2.639598047082803e-09
