Mid_Current_nA,InputResistance_GOhm
-0.095,0.088
-0.08499999999999999,0.094
-0.07500000000000001,0.101
-0.065,0.109
-0.055,0.119
-0.045,0.13
-0.035,0.145
-0.025,0.165
-0.015,0.196
-0.005,0.261
0.005,0.283
0.015,0.133
0.025,-0.027
0.035,0.126
0.045,0.079
0.055,0.139
0.065,0.055
0.07500000000000001,0.028
0.08499999999999999,0.182
0.095,0.032
0.10500000000000001,0.068
0.11499999999999999,0.097
0.125,0.11
0.135,0.043
0.14500000000000002,0.139
0.155,0.08
0.165,0.115
0.175,0.055
0.185,0.11
0.195,0.109
0.20500000000000002,0.072
0.215,0.105
0.225,0.061
0.235,0.113
0.245,0.106
0.255,0.081
0.265,0.088
0.275,0.089
0.28500000000000003,0.084
0.295,0.086
0.305,0.067
0.315,0.094
0.325,0.034
0.335,0.061
0.345,0.022
0.355,0.014
0.365,0.014
0.375,0.014
0.385,0.014
0.395,0.014
0.405,0.014
0.415,0.014
0.425,0.014
0.435,0.014
0.445,0.013
0.455,0.014
0.46499999999999997,0.013
0.475,0.013
0.485,0.013
