Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-79.226,0
-0.09,-78.348,0
-0.08,-77.409,0
-0.07,-76.401,0
-0.06,-75.31,0
-0.05,-74.123,0
-0.04,-72.819,0
-0.03,-71.367,0
-0.02,-69.715,0
-0.01,-67.757,0
-0.0,-65.15,0
0.01,-62.319,18
0.02,-60.994,32
0.03,-61.265,41
0.04,-60.008,48
0.05,-59.221,55
0.06,-57.827,61
0.07,-57.28,66
0.08,-56.996,71
0.09,-55.18,75
0.1,-54.861,79
0.11,-54.182,83
0.12,-53.208,87
0.13,-52.103,90
0.14,-51.673,93
0.15,-50.286,96
0.16,-49.481,99
0.17,-48.331,101
0.18,-47.784,103
0.19,-46.686,106
0.2,-45.597,107
0.21,-44.882,109
0.22,-43.834,111
0.23,-43.228,112
0.24,-42.1,113
0.25,-41.037,114
0.26,-40.228,115
0.27,-39.35,115
0.28,-38.459,115
0.29,-37.617,115
0.3,-36.758,115
0.31,-36.09,114
0.32,-35.149,18
0.33,-34.809,12
0.34,-34.202,10
0.35,-33.985,8
0.36,-33.84,7
0.37,-33.696,7
0.38,-33.553,6
0.39,-33.411,6
0.4,-33.271,5
0.41,-33.131,5
0.42,-32.993,5
0.43,-32.856,4
0.44,-32.719,4
0.45,-32.584,4
0.46,-32.449,4
0.47,-32.315,3
0.48,-32.182,3
0.49,-32.05,3
