Stimulus (pA),Latency to Threshold (ms),Latency to Peak (ms)
-100,,
-80,,
-60,,
-40,,
-20,,
0,,
20,,
40,,
60,,
80,,
100,,
120,,
140,,
160,,
180,,
200,3.1399999999511294,3.4399999999508566
220,1.8799999999522754,2.1999999999519844
240,1.5399999999525846,1.8599999999522936
260,1.3199999999527847,1.6399999999524937
280,1.1399999999529484,1.4999999999526192
300,1.0199999999530576,1.3799999999527301
320,0.8999999999531685,1.2799999999528193
340,0.7999999999532577,1.179999999952912
360,0.6999999999533486,1.1199999999529684
380,0.5399999999534941,1.0599999999530194
