Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-91.074,0
-0.09,-89.785,0
-0.08,-88.391,0
-0.07,-86.868,0
-0.06,-85.183,0
-0.05,-83.295,0
-0.04,-81.149,0
-0.03,-78.673,0
-0.02,-75.783,0
-0.01,-72.404,0
-0.0,-68.543,0
0.01,-64.263,0
0.02,-59.279,0
0.03,-51.92,3
0.04,-53.576,20
0.05,-51.674,30
0.06,-51.369,38
0.07,-50.462,46
0.08,-50.024,51
0.09,-48.501,56
0.1,-46.8,60
0.11,-45.156,64
0.12,-43.771,67
0.13,-42.848,70
0.14,-40.908,72
0.15,-38.711,74
0.16,-37.665,76
0.17,-35.551,76
0.18,-33.707,76
0.19,-31.654,17
0.2,-31.3,9
0.21,-30.928,7
0.22,-30.567,6
0.23,-30.215,5
0.24,-29.872,5
