Mid_Current_nA,InputResistance_GOhm
-0.095,0.094
-0.08499999999999999,0.1
-0.07500000000000001,0.107
-0.065,0.115
-0.055,0.124
-0.045,0.134
-0.035,0.145
-0.025,0.156
-0.015,0.167
-0.005,0.175
0.005,0.181
0.015,0.182
0.025,0.179
0.035,0.175
0.045,0.168
0.055,0.162
0.065,0.156
0.07500000000000001,0.15
0.08499999999999999,0.145
0.095,0.14
0.10500000000000001,0.135
0.11499999999999999,0.128
0.125,0.12
0.135,0.11
0.14500000000000002,0.101
0.155,0.091
0.165,0.083
0.175,0.075
0.185,0.068
0.195,0.062
0.20500000000000002,0.058
0.215,0.053
0.225,0.05
0.235,0.047
0.245,0.044
0.255,0.042
0.265,0.04
0.275,0.038
0.28500000000000003,0.036
