Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-83.651,0
-0.09,-82.71,0
-0.08,-81.707,0
-0.07,-80.633,0
-0.06,-79.48,0
-0.05,-78.237,0
-0.04,-76.895,0
-0.03,-75.447,0
-0.02,-73.887,0
-0.01,-72.221,0
-0.0,-70.468,0
0.01,-68.661,0
0.02,-66.841,0
0.03,-65.046,0
0.04,-63.301,0
0.05,-61.618,0
0.06,-60.0,0
0.07,-58.444,0
0.08,-56.94,0
0.09,-55.489,0
0.1,-54.085,0
0.11,-52.738,0
0.12,-51.458,0
0.13,-50.259,0
0.14,-49.154,0
0.15,-48.146,0
0.16,-47.234,1
0.17,-46.409,1
0.18,-45.661,1
0.19,-44.979,1
0.2,-44.355,1
0.21,-43.779,1
0.22,-43.245,2
0.23,-42.747,2
0.24,-42.28,2
0.25,-41.839,2
0.26,-41.423,2
0.27,-41.026,2
0.28,-40.649,2
0.29,-40.287,2
