Stimulus (pA),Latency to Threshold (ms),Latency to Peak (ms)
-100,,
-80,,
-60,,
-40,,
-20,,
0,,
20,,
40,,
60,,
80,,
100,,
120,,
140,,
160,,
180,,
200,3.3199999999509657,3.599999999950713
220,2.1799999999520043,2.459999999951748
240,1.7799999999523664,2.0599999999521117
260,1.5199999999526046,1.81999999995233
280,1.3199999999527847,1.6399999999524937
300,1.179999999952912,1.4999999999526192
320,1.0599999999530194,1.3799999999527301
340,0.9399999999531303,1.2999999999528047
360,0.8399999999532195,1.2199999999528757
380,0.7399999999533122,1.1399999999529484
