Parameter,Global_fit,Local_fit,Change
gna,203.88268585214854,207.49861943608536,3.6159335839368225
gkht,225.63519638274133,226.06794707415372,0.4327506914123944
gklt,41.94087784111467,35.83125052030592,-6.109627320808748
gh,5.324229467256595,4.554967187740153,-0.7692622795164423
gka,19.542643930518157,19.55749590274623,0.014851972228072441
gleak,10.978794626732215,10.995231273931172,0.016436647198956322
stim_amp,0.139914935228378,0.11901824985729605,-0.020896685371081955
cam,85.28095327708573,88.74872713198819,3.467773854902461
kam,0.03761135259713694,0.03674956353158378,-0.0008617890655531549
cbm,6.542278144716686,5.597055377244436,-0.9452227674722504
kbm,-0.03424283245944328,-0.039123029939499364,-0.004880197480056081
