Parameter,Global_fit,Local_fit,Change
gna,207.72113579284874,207.72113579284874,0.0
gkht,273.4139821360327,273.4139821360327,0.0
gklt,34.79215560723025,34.79215560723025,0.0
gh,11.777626971224718,11.777626971224718,0.0
gka,75.22407026292626,75.22407026292626,0.0
gleak,4.738694745627807,4.738694745627807,0.0
stim_amp,0.2001614120274029,0.2001614120274029,0.0
cam,96.56707236005,96.56707236005,0.0
kam,0.04491672090592666,0.04491672090592666,0.0
cbm,7.7959039775617525,7.7959039775617525,0.0
kbm,-0.030572418388981174,-0.030572418388981174,0.0
