SteadyStateVoltage,Current,Cell_ID
-89.7944,-100,P9_iMNTB_10142022_S1C2
-87.6715,-80,
-85.5458,-60,
-83.1515,-40,
-80.621,-20,
-77.4981,0,
-74.3307,20,
-71.6115,40,
-69.1702,60,
-67.3919,80,
-65.9265,100,
-64.5126,120,
-62.9272,140,
-62.1983,160,
-61.0948,180,
-60.066,200,
-59.2734,220,
-58.3908,240,
-57.6003,260,
-56.4459,280,
-55.725,300,
