Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-87.608,0
-0.09,-86.502,0
-0.08,-85.338,0
-0.07,-84.111,0
-0.06,-82.814,0
-0.05,-81.443,0
-0.04,-79.994,0
-0.03,-78.467,0
-0.02,-76.87,0
-0.01,-75.214,0
-0.0,-73.519,0
0.01,-71.809,0
0.02,-70.107,0
0.03,-68.435,0
0.04,-66.809,0
0.05,-65.235,0
0.06,-63.715,0
0.07,-62.248,0
0.08,-60.83,0
0.09,-59.457,0
0.1,-58.128,0
0.11,-56.849,0
0.12,-55.627,0
0.13,-54.475,0
0.14,-53.405,1
0.15,-52.428,1
0.16,-51.544,1
0.17,-49.993,50
0.18,-49.909,55
0.19,-49.608,59
0.2,-49.296,62
0.21,-48.201,65
0.22,-48.028,67
0.23,-47.403,69
0.24,-46.676,70
0.25,-46.271,71
0.26,-45.801,72
0.27,-44.994,73
0.28,-44.956,73
0.29,-44.452,73
