Parameter,Global_fit,Local_fit,Change
gna,236.99092288040438,236.99092288040438,0.0
gkht,263.6487627747685,263.6487627747685,0.0
gklt,38.59437873644721,38.59437873644721,0.0
gh,7.152639808109961,7.152639808109961,0.0
gka,40.28423642405452,40.28423642405452,0.0
gleak,8.675796773898162,8.675796773898162,0.0
stim_amp,0.21997867522673004,0.21997867522673004,0.0
cam,95.46424849424116,95.46424849424116,0.0
kam,0.03416260341725902,0.03416260341725902,0.0
cbm,6.697710117420137,6.697710117420137,0.0
kbm,-0.04454937109952006,-0.04454937109952006,0.0
