Mid_Current_nA,InputResistance_GOhm
-0.095,0.101
-0.08499999999999999,0.105
-0.07500000000000001,0.11
-0.065,0.115
-0.055,0.12
-0.045,0.124
-0.035,0.129
-0.025,0.133
-0.015,0.136
-0.005,0.139
0.005,0.141
0.015,0.144
0.025,0.146
0.035,0.148
0.045,0.152
0.055,0.158
0.065,0.169
0.07500000000000001,0.19
0.08499999999999999,0.238
0.095,0.076
0.10500000000000001,-0.118
0.11499999999999999,0.038
0.125,0.007
0.135,0.039
0.14500000000000002,0.052
0.155,0.027
0.165,0.113
0.175,0.001
0.185,0.071
0.195,0.036
0.20500000000000002,0.015
0.215,0.097
0.225,0.094
0.235,0.033
0.245,0.104
0.255,0.037
0.265,0.032
0.275,0.111
0.28500000000000003,0.005
0.295,0.086
0.305,0.1
0.315,0.027
0.325,0.037
0.335,0.073
0.345,0.08
0.355,0.058
0.365,0.047
0.375,0.11
0.385,0.014
