Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-84.117,0
-0.09,-83.108,0
-0.08,-82.056,0
-0.07,-80.957,0
-0.06,-79.81,0
-0.05,-78.615,0
-0.04,-77.372,0
-0.03,-76.086,0
-0.02,-74.758,0
-0.01,-73.396,0
-0.0,-72.005,0
0.01,-70.59,0
0.02,-69.154,0
0.03,-67.698,0
0.04,-66.216,0
0.05,-64.697,0
0.06,-63.114,0
0.07,-61.424,0
0.08,-59.526,0
0.09,-57.149,0
0.1,-56.384,22
0.11,-57.568,42
0.12,-57.184,53
0.13,-57.112,60
0.14,-56.725,66
0.15,-56.202,71
0.16,-55.931,76
0.17,-54.8,80
0.18,-54.786,84
0.19,-54.073,88
0.2,-53.709,91
0.21,-53.555,94
0.22,-52.588,97
0.23,-51.648,100
0.24,-51.319,103
0.25,-50.284,105
0.26,-49.909,107
0.27,-49.589,110
0.28,-48.482,111
0.29,-48.427,113
0.3,-47.569,115
0.31,-46.573,116
0.32,-46.299,118
0.33,-45.926,119
0.34,-45.193,120
0.35,-44.396,121
0.36,-43.814,122
0.37,-43.346,123
0.38,-42.246,124
0.39,-42.107,125
