Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-85.677,0
-0.09,-84.597,0
-0.08,-83.431,0
-0.07,-82.163,0
-0.06,-80.776,0
-0.05,-79.248,0
-0.04,-77.552,0
-0.03,-75.661,0
-0.02,-73.548,0
-0.01,-71.201,0
-0.0,-68.633,0
0.01,-65.881,0
0.02,-62.959,0
0.03,-59.809,0
0.04,-56.267,0
0.05,-52.524,0
0.06,-56.575,26
0.07,-57.64,41
0.08,-57.487,48
0.09,-56.833,53
0.1,-56.807,58
0.11,-55.72,63
0.12,-55.662,67
0.13,-54.651,71
0.14,-54.705,75
0.15,-53.629,78
0.16,-53.186,81
0.17,-52.354,84
0.18,-51.924,87
0.19,-51.37,89
0.2,-50.708,92
0.21,-49.918,94
0.22,-49.119,96
0.23,-48.719,99
0.24,-47.703,100
0.25,-47.045,102
0.26,-46.459,104
0.27,-45.322,105
0.28,-44.932,107
0.29,-44.27,108
0.3,-43.541,109
0.31,-42.935,110
0.32,-41.932,111
0.33,-41.422,111
0.34,-40.065,111
0.35,-39.297,111
0.36,-38.898,111
0.37,-37.617,109
0.38,-35.806,25
0.39,-35.609,14
0.4,-35.415,11
0.41,-35.224,9
0.42,-35.037,8
0.43,-34.852,7
0.44,-34.67,6
0.45,-34.491,6
0.46,-34.314,5
0.47,-34.139,5
0.48,-33.966,5
0.49,-33.796,4
