Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-91.798,0
-0.09,-90.084,0
-0.08,-88.285,0
-0.07,-86.39,0
-0.06,-84.393,0
-0.05,-82.291,0
-0.04,-80.093,0
-0.03,-77.817,0
-0.02,-75.488,0
-0.01,-73.139,0
-0.0,-70.796,0
0.01,-68.475,0
0.02,-66.171,0
0.03,-63.852,0
0.04,-61.448,0
0.05,-58.808,0
0.06,-55.578,0
0.07,-55.032,14
0.08,-55.378,39
0.09,-54.073,48
0.1,-53.222,54
0.11,-52.421,60
0.12,-51.607,64
0.13,-51.15,68
0.14,-49.879,72
0.15,-48.482,75
0.16,-48.231,78
0.17,-47.471,81
0.18,-46.308,83
0.19,-45.535,85
0.2,-44.413,87
0.21,-44.303,88
0.22,-43.04,90
0.23,-42.307,91
0.24,-41.352,92
0.25,-40.988,92
0.26,-39.803,93
0.27,-39.782,93
0.28,-39.138,93
0.29,-38.478,93
0.3,-37.488,93
0.31,-37.141,92
0.32,-36.467,91
0.33,-36.032,12
0.34,-37.021,9
0.35,-36.816,8
0.36,-36.61,7
0.37,-36.408,6
0.38,-36.209,6
0.39,-36.014,5
