Parameter,Global_fit,Local_fit,Change
gna,267.95607358162977,267.95607358162977,0.0
gkht,177.5560440528206,177.5560440528206,0.0
gklt,36.32289915810895,36.32289915810895,0.0
gh,6.195128580545456,6.195128580545456,0.0
gka,58.919914021905704,58.919914021905704,0.0
gleak,9.956550825984728,9.956550825984728,0.0
stim_amp,0.14007572662670742,0.14007572662670742,0.0
cam,85.39827802906454,85.39827802906454,0.0
kam,0.03644561291478789,0.03644561291478789,0.0
cbm,7.229420578988198,7.229420578988198,0.0
kbm,-0.03729893830324972,-0.03729893830324972,0.0
