Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-85.675,0
-0.09,-84.594,0
-0.08,-83.426,0
-0.07,-82.154,0
-0.06,-80.76,0
-0.05,-79.22,0
-0.04,-77.503,0
-0.03,-75.573,0
-0.02,-73.388,0
-0.01,-70.905,0
-0.0,-68.079,0
0.01,-64.829,0
0.02,-60.805,0
0.03,-53.273,3
0.04,-60.188,26
0.05,-60.645,35
0.06,-59.739,41
0.07,-59.698,47
0.08,-59.074,52
0.09,-58.618,56
0.1,-57.901,61
0.11,-58.198,64
0.12,-57.493,68
0.13,-56.51,72
0.14,-55.293,75
0.15,-55.368,78
0.16,-54.25,81
0.17,-54.252,84
0.18,-54.22,87
0.19,-53.04,90
0.2,-52.942,92
0.21,-52.361,95
0.22,-51.593,97
0.23,-50.72,99
0.24,-50.281,101
0.25,-50.079,103
0.26,-48.916,105
0.27,-48.798,107
0.28,-48.238,109
0.29,-47.675,111
0.3,-47.368,112
0.31,-46.368,114
0.32,-45.926,115
0.33,-44.864,117
0.34,-44.344,118
0.35,-43.884,119
0.36,-43.37,120
0.37,-42.873,121
0.38,-42.162,122
0.39,-41.074,123
0.4,-41.1,123
0.41,-39.617,124
0.42,-39.143,124
0.43,-38.614,124
0.44,-37.427,124
0.45,-36.657,124
0.46,-35.443,122
0.47,-32.39,22
0.48,-32.226,13
0.49,-32.064,10
