Parameter,Global_fit,Local_fit,Change
gna,246.87753928841153,246.87753928841153,0.0
gkht,180.93494510818232,180.93494510818232,0.0
gklt,36.82025748148058,36.82025748148058,0.0
gh,7.690092026911643,7.690092026911643,0.0
gka,149.37592983617367,149.37592983617367,0.0
gleak,8.67311578438051,8.67311578438051,0.0
stim_amp,0.2199332035264542,0.2199332035264542,0.0
cam,70.05683405247697,70.05683405247697,0.0
kam,0.03907595527950666,0.03907595527950666,0.0
cbm,5.098365774940323,5.098365774940323,0.0
kbm,-0.039437212826867726,-0.039437212826867726,0.0
