Mid_Current_nA,InputResistance_GOhm
-0.095,0.108
-0.08499999999999999,0.117
-0.07500000000000001,0.127
-0.065,0.139
-0.055,0.153
-0.045,0.17
-0.035,0.191
-0.025,0.215
-0.015,0.241
-0.005,0.269
0.005,0.297
0.015,0.332
0.025,0.399
0.035,0.533
0.045,-0.617
0.055,0.014
0.065,0.013
0.07500000000000001,-0.056
0.08499999999999999,0.112
0.095,0.059
0.10500000000000001,0.055
0.11499999999999999,0.076
0.125,0.009
0.135,0.052
0.14500000000000002,0.036
0.155,0.093
0.165,-0.0
0.175,0.057
0.185,0.117
0.195,0.013
0.20500000000000002,0.042
0.215,0.087
0.225,0.074
0.235,0.066
0.245,0.026
0.255,0.1
0.265,-0.03
0.275,0.107
0.28500000000000003,0.087
0.295,-0.016
0.305,0.084
0.315,0.09
0.325,0.041
0.335,0.047
0.345,0.049
0.355,0.099
0.365,0.097
0.375,0.038
0.385,0.086
0.395,0.072
0.405,0.084
0.415,0.083
0.425,0.11
0.435,0.144
0.445,0.199
0.455,0.017
0.46499999999999997,0.017
0.475,0.017
0.485,0.016
