Mid_Current_nA,InputResistance_GOhm
-0.095,0.078
-0.08499999999999999,0.083
-0.07500000000000001,0.088
-0.065,0.093
-0.055,0.099
-0.045,0.106
-0.035,0.112
-0.025,0.119
-0.015,0.125
-0.005,0.131
0.005,0.135
0.015,0.138
0.025,0.139
0.035,0.139
0.045,0.137
0.055,0.134
0.065,0.13
0.07500000000000001,0.125
0.08499999999999999,0.119
0.095,0.112
0.10500000000000001,0.104
0.11499999999999999,0.096
0.125,0.088
0.135,0.081
0.14500000000000002,0.074
0.155,0.068
0.165,0.063
0.175,0.058
0.185,0.054
0.195,0.05
0.20500000000000002,0.047
0.215,0.044
0.225,0.042
0.235,0.04
0.245,0.038
0.255,0.036
0.265,0.034
0.275,0.033
0.28500000000000003,0.032
0.295,0.031
0.305,0.03
0.315,0.029
0.325,0.028
0.335,0.027
0.345,0.026
0.355,0.025
0.365,0.025
0.375,0.024
0.385,0.023
0.395,0.023
0.405,0.023
0.415,0.022
0.425,0.022
0.435,0.021
0.445,0.021
0.455,0.02
0.46499999999999997,0.02
0.475,0.02
0.485,0.019
