Parameter,Global_fit,Local_fit,Change
gna,169.8208618431922,169.8208618431922,0.0
gkht,266.60114792835145,266.60114792835145,0.0
gklt,1.1513823143417554,1.1513823143417554,0.0
gh,10.394836564255641,10.394836564255641,0.0
gka,140.2828829061978,140.2828829061978,0.0
gleak,4.619661419461083,4.619661419461083,0.0
stim_amp,0.04001945236729981,0.04001945236729981,0.0
cam,60.83812286605778,60.83812286605778,0.0
kam,0.032693468885264004,0.032693468885264004,0.0
cbm,9.092733836443653,9.092733836443653,0.0
kbm,-0.0338365547184962,-0.0338365547184962,0.0
