SteadyStateVoltage,Current,Cell_ID
-92.8325,-100,P6_TeNT_01182024_S1C1
-90.06,-80,
-87.1704,-60,
-83.6374,-40,
-78.9988,-20,
-72.6907,0,
-59.6742,20,
