time_ms,dvdt
97.02500000001349,0.0010814211266279017
97.0500000000135,0.0010798965995491017
97.0750000000135,0.0010783740301576472
97.10000000001351,0.0010768534162934884
97.12500000001351,0.0010753347551144543
97.15000000001352,0.0010738180443468082
97.17500000001353,0.0010723032817168132
97.20000000001353,0.0010707904646096722
97.22500000001354,0.0010692795906379615
97.25000000001354,0.0010677706574142576
97.27500000001355,0.0010662636625511368
97.30000000001355,0.001064758603433802
97.32500000001356,0.001063255477902203
97.35000000001357,0.0010617542834552296
97.37500000001357,0.0010602550175917713
97.40000000001358,0.0010587576781517782
97.42500000001358,0.00105726226263414
97.45000000001359,0.0010557687686514328
97.4750000000136,0.0010542771937025464
97.5000000000136,0.001052787535400057
97.5250000000136,0.001051299791583915
97.55000000001361,0.0010498139597530098
97.57500000001362,0.001048330037406231
97.60000000001362,0.0010468480224972154
97.62500000001363,0.0010453679124111659
97.65000000001363,0.0010438897047606588
97.67500000001364,0.0010424133971582705
97.70000000001365,0.0010409389873302644
97.72500000001365,0.0010394664731165904
97.75000000001366,0.0010379958519024512
97.77500000001366,0.0010365271214141103
97.80000000001367,0.001035060279264144
97.82500000001367,0.0010335953231788153
97.85000000001368,0.001032132250770701
97.87500000001369,0.001030671059766064
97.90000000001369,0.0010292117475501072
97.9250000000137,0.0010277543119627808
97.9500000000137,0.0010262987509577215
97.97500000001371,0.0010248450619201321
98.00000000001371,0.0010233932423489023
98.02500000001372,0.0010219432903113557
98.05000000001372,0.0010204952033063819
98.07500000001373,0.0010190489787191837
98.10000000001374,0.0010176046146170847
98.12500000001374,0.0010161621084989747
98.15000000001375,0.0010147214582048036
98.17500000001375,0.0010132826614608348
98.20000000001376,0.0010118457156522709
98.22500000001376,0.001010410618619062
98.25000000001377,0.001008977368314845
98.27500000001378,0.0010075459621248228
98.30000000001378,0.0010061163975478848
98.32500000001379,0.001004688672537668
98.3500000000138,0.0010032627849341225
98.3750000000138,0.0010018387324635114
98.4000000000138,0.0010004165125110376
98.42500000001381,0.000998996122916651
98.45000000001382,0.000997577561520302
98.47500000001382,0.0009961608258208798
98.50000000001383,0.0009947459136583348
98.52500000001383,0.0009933328226452431
98.55000000001384,0.000991921550621555
98.57500000001384,0.000990512095199847
98.60000000001385,0.000989104454106382
98.62500000001386,0.0009876986252947972
98.65000000001386,0.0009862946062639821
98.67500000001387,0.0009848923946265131
98.70000000001387,0.0009834919882223403
98.72500000001388,0.0009820933848914137
98.75000000001388,0.0009806965823599967
98.77500000001389,0.0009793015782406655
98.8000000000139,0.0009779083701459967
98.8250000000139,0.0009765169560296272
98.8500000000139,0.000975127333731507
98.87500000001391,0.0009737395008642125
98.90000000001392,0.0009723534549266333
98.92500000001392,0.0009709691938724063
98.95000000001393,0.0009695867156551685
98.97500000001394,0.0009682060177738094
99.00000000001394,0.0009668270978409055
99.02500000001395,0.0009654499538100936
99.05000000001395,0.0009640745835213238
99.07500000001396,0.0009627009847008594
99.10000000001396,0.0009613291549612768
99.12500000001397,0.0009599590920288392
99.15000000001397,0.0009585907938571836
99.17500000001398,0.0009572242581725732
99.20000000001399,0.0009558594825875844
99.22500000001399,0.0009544964649421672
99.250000000014,0.0009531352030762719
99.275000000014,0.0009517756947161615
99.30000000001401,0.0009504179377017863
99.32500000001401,0.0009490619297594094
99.35000000001402,0.0009477076685016073
99.37500000001403,0.00094635515176833
99.40000000001403,0.0009450043775132144
99.42500000001404,0.0009436553435762107
99.45000000001404,0.0009423080475698953
99.47500000001405,0.0009409624871068445
99.50000000001405,0.000939618660368069
99.52500000001406,0.0009382765651935188
99.55000000001407,0.0009369361988547098
99.57500000001407,0.0009355975595326527
99.60000000001408,0.0009342606449536106
99.62500000001408,0.0009329254529575337
99.65000000001409,0.0009315919814980589
99.6750000000141,0.000930260227846702
99.7000000000141,0.0009289301901844738
99.7250000000141,0.0009276018663513241
99.75000000001411,0.0009262752541872032
99.77500000001412,0.0009249503514183743
99.80000000001412,0.0009236271557711007
99.82500000001413,0.0009223056650853323
99.85000000001413,0.000920985877428393
99.87500000001414,0.000919667790526546
99.90000000001415,0.0009183514021060546
99.92500000001415,0.000917036709893182
99.95000000001416,0.0009157237118415651
99.97500000001416,0.0009144124060185277
100.00000000001417,0.0009131027899229593
100.02500000001417,0.000911794861508497
100.05000000001418,0.0009104886186150907
100.07500000001419,0.0009091840590826905
100.10000000001419,0.0009078811809786203
100.1250000000142,0.0009065799819154563
100.1500000000142,0.0009052804596194619
100.17500000001421,0.0009039826121579608
100.20000000001421,0.00090268643748459
100.22500000001422,0.000901391933098239
100.25000000001423,0.0009000990970662315
100.27500000001423,0.0008988079275695782
100.30000000001424,0.0008975184219934818
100.32500000001424,0.0008962305782915791
100.35000000001425,0.0008949443945311941
100.37500000001425,0.0008936598684385899
100.40000000001426,0.0008923769979674034
100.42500000001426,0.0008910957809575848
100.45000000001427,0.000889816215249084
100.47500000001428,0.000888538298909225
100.50000000001428,0.0008872620297779577
100.52500000001429,0.0008859874055815453
100.5500000000143,0.0008847144242736249
100.5750000000143,0.0008834430836941465
100.6000000000143,0.000882173381796747
100.62500000001431,0.000880905316762437
100.65000000001432,0.0008796388862037929
100.67500000001432,0.0008783740879607649
100.70000000001433,0.0008771109202143634
100.72500000001433,0.000875849380577165
100.75000000001434,0.0008745894671164933
100.77500000001434,0.0008733311777859853
100.80000000001435,0.0008720745103119043
100.82500000001436,0.0008708194628752608
100.85000000001436,0.0008695660334296917
100.87500000001437,0.0008683142195877736
100.90000000001437,0.0008670640193031431
100.92500000001438,0.000865815430870498
100.95000000001438,0.0008645684519024144
100.97500000001439,0.000863323080579903
101.0000000000144,0.000862079314742914
101.0250000000144,0.0008608371521177105
101.0500000000144,0.0008595965908853032
101.07500000001441,0.0008583576291130157
101.10000000001442,0.0008571202645271114
101.12500000001442,0.0008558844948538535
101.15000000001443,0.0008546503185016263
101.17500000001444,0.0008534177334240667
101.20000000001444,0.0008521867374611247
101.22500000001445,0.0008509573284527505
101.25000000001445,0.000849729504352581
101.27500000001446,0.0008485032633416267
101.30000000001446,0.0008472786032598378
101.32500000001447,0.0008460555221745381
101.35000000001448,0.0008448340180393643
101.37500000001448,0.0008436140888079535
101.40000000001449,0.0008423957324339426
101.42500000001449,0.0008411789468709685
101.4500000000145,0.000839963730186355
101.4750000000145,0.0008387500804474257
101.50000000001451,0.0008375379954941309
101.52500000001451,0.0008363274732801074
101.55000000001452,0.0008351185121000526
101.57500000001453,0.0008339111097939167
101.60000000001453,0.0008327052642016497
101.62500000001454,0.0008315009733905754
101.65000000001454,0.0008302982355417043
101.67500000001455,0.0008290970487223603
101.70000000001455,0.0008278974107724935
101.72500000001456,0.0008266993197594275
101.75000000001457,0.0008255027735231124
101.77500000001457,0.0008243077703582458
101.80000000001458,0.0008231143083321513
101.82500000001458,0.0008219223850574053
101.85000000001459,0.0008207319990560791
101.8750000000146,0.0008195431482818094
101.9000000000146,0.0008183558304608596
101.9250000000146,0.0008171700437742402
101.95000000001461,0.000815985786289275
101.97500000001462,0.0008148030561869746
102.00000000001462,0.0008136218514209759
102.02500000001463,0.0008124421700586026
102.05000000001463,0.0008112640100534918
102.07500000001464,0.0008100873693592803
102.10000000001465,0.0008089122464980392
102.12500000001465,0.0008077386391960317
102.15000000001466,0.000806566545293208
102.17500000001466,0.000805395963425326
102.20000000001467,0.000804226891318649
102.22500000001467,0.000803059326813127
102.25000000001468,0.0008018932684308311
102.27500000001469,0.0008007287142390851
102.30000000001469,0.0007995656619641522
102.3250000000147,0.00079840410990073
102.3500000000147,0.000797244056116142
102.37500000001471,0.0007960854986777122
102.40000000001471,0.0007949284358801378
102.42500000001472,0.0007937728654496823
102.45000000001473,0.0007926187854536693
102.47500000001473,0.0007914661944141699
102.50000000001474,0.0007903150901711342
102.52500000001474,0.0007891654709055729
102.55000000001475,0.0007880173347984964
102.57500000001475,0.000786870679689855
102.60000000001476,0.0007857255039880329
102.62500000001477,0.0007845818055329801
102.65000000001477,0.0007834395825057072
102.67500000001478,0.0007822988332009118
102.70000000001478,0.0007811595555722306
102.72500000001479,0.0007800217478006743
