Time_ms,Voltage_mV
133.92500000001513,-45.96555914651748
133.9500000000151,-45.965557159479076
133.9750000000151,-45.96555517789593
134.00000000001506,-45.96555320176054
134.02500000001504,-45.96555123106543
134.05000000001502,-45.96554926580312
134.075000000015,-45.96554730596614
134.10000000001497,-45.96554535154703
134.12500000001495,-45.965543402538344
134.15000000001493,-45.96554145893264
134.1750000000149,-45.965539520722494
134.20000000001488,-45.96553758790048
134.22500000001486,-45.96553566045919
134.25000000001484,-45.96553373839122
134.2750000000148,-45.96553182168918
134.3000000000148,-45.965529910345694
134.32500000001477,-45.96552800435338
134.35000000001475,-45.965526103704875
134.37500000001472,-45.96552420839283
134.4000000000147,-45.965522318409896
134.42500000001468,-45.965520433748736
134.45000000001465,-45.96551855440203
134.47500000001463,-45.96551668036246
134.5000000000146,-45.96551481162272
134.5250000000146,-45.9655129481755
134.55000000001456,-45.96551109001352
134.57500000001454,-45.9655092371295
134.60000000001452,-45.965507389516176
134.6250000000145,-45.96550554716628
134.65000000001447,-45.96550371007256
134.67500000001445,-45.965501878227776
134.70000000001443,-45.965500051624694
134.7250000000144,-45.96549823025609
134.75000000001438,-45.965496414114746
134.77500000001436,-45.96549460319346
134.80000000001434,-45.96549279748504
134.8250000000143,-45.96549099698229
134.8500000000143,-45.96548920167803
134.87500000001427,-45.96548741156511
134.90000000001424,-45.965485626636344
134.92500000001422,-45.9654838468846
134.9500000000142,-45.965482072302734
134.97500000001418,-45.965480302883606
135.00000000001415,-45.9654785386201
135.02500000001413,-45.965476779505096
135.0500000000141,-45.9654750255315
135.0750000000141,-45.9654732766922
135.10000000001406,-45.965471532980125
135.12500000001404,-45.96546979438819
135.15000000001402,-45.96546806090933
135.175000000014,-45.96546633253648
135.20000000001397,-45.96546460926259
135.22500000001395,-45.96546289108061
135.25000000001393,-45.96546117798353
135.2750000000139,-45.9654594699643
135.30000000001388,-45.96545776701592
135.32500000001386,-45.965456069131385
135.35000000001384,-45.96545437630369
135.3750000000138,-45.96545268852586
135.4000000000138,-45.9654510057909
135.42500000001377,-45.96544932809184
135.45000000001374,-45.965447655421734
135.47500000001372,-45.96544598777362
135.5000000000137,-45.96544432514056
135.52500000001368,-45.96544266751561
135.55000000001365,-45.96544101489185
135.57500000001363,-45.96543936726236
135.6000000000136,-45.96543772462024
135.62500000001359,-45.965436086958576
135.65000000001356,-45.96543445427049
135.67500000001354,-45.965432826549105
135.70000000001352,-45.96543120378753
135.7250000000135,-45.96542958597892
135.75000000001347,-45.9654279731164
135.77500000001345,-45.96542636519313
135.80000000001343,-45.96542476220228
135.8250000000134,-45.96542316413702
135.85000000001338,-45.96542157099052
135.87500000001336,-45.965419982755975
135.90000000001334,-45.96541839942658
135.9250000000133,-45.96541682099554
135.9500000000133,-45.96541524745607
135.97500000001327,-45.9654136788014
136.00000000001324,-45.96541211502475
136.02500000001322,-45.96541055611936
136.0500000000132,-45.96540900207849
136.07500000001318,-45.96540745289539
136.10000000001315,-45.965405908563326
136.12500000001313,-45.96540436907558
136.1500000000131,-45.965402834425426
136.17500000001309,-45.96540130460616
136.20000000001306,-45.96539977961108
136.22500000001304,-45.9653982594335
136.25000000001302,-45.96539674406673
136.275000000013,-45.965395233504104
136.30000000001297,-45.96539372773895
136.32500000001295,-45.965392226764614
136.35000000001293,-45.96539073057445
136.3750000000129,-45.965389239161816
