Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-85.682,0
-0.09,-84.603,0
-0.08,-83.44,0
-0.07,-82.176,0
-0.06,-80.794,0
-0.05,-79.274,0
-0.04,-77.594,0
-0.03,-75.728,0
-0.02,-73.662,0
-0.01,-71.397,0
-0.0,-68.977,0
0.01,-66.478,0
0.02,-63.979,0
0.03,-61.535,0
0.04,-59.168,0
0.05,-56.907,0
0.06,-54.801,0
0.07,-52.923,0
0.08,-51.321,0
0.09,-56.175,44
0.1,-55.87,51
0.11,-55.374,56
0.12,-54.414,60
0.13,-54.073,64
0.14,-53.001,68
0.15,-52.7,71
0.16,-52.601,75
0.17,-51.484,78
0.18,-50.427,80
0.19,-50.346,83
0.2,-49.476,85
0.21,-48.592,88
0.22,-48.312,90
0.23,-47.46,92
0.24,-47.562,93
0.25,-46.191,95
0.26,-45.771,96
0.27,-45.079,98
0.28,-44.42,99
0.29,-44.065,100
0.3,-42.677,100
0.31,-42.409,101
0.32,-41.44,101
0.33,-40.627,100
0.34,-38.791,20
0.35,-38.563,10
0.36,-38.341,8
0.37,-38.123,6
0.38,-37.91,5
0.39,-37.702,5
0.4,-37.498,4
0.41,-37.297,4
0.42,-37.101,3
0.43,-36.908,3
0.44,-36.718,3
0.45,-36.531,3
0.46,-36.348,3
0.47,-36.167,2
0.48,-35.989,2
0.49,-35.813,2
