Parameter,Global_fit,Local_fit,Change
gna,146.1622910559124,146.1622910559124,0.0
gkht,172.9194392729573,172.9194392729573,0.0
gklt,25.258847725908126,25.258847725908126,0.0
gh,7.6298894920176235,7.6298894920176235,0.0
gka,150.90805930635807,150.90805930635807,0.0
gleak,14.311169840225888,14.311169840225888,0.0
stim_amp,0.11993937978534966,0.11993937978534966,0.0
cam,95.96143851107576,95.96143851107576,0.0
kam,0.049237091814712815,0.049237091814712815,0.0
cbm,8.364202192834162,8.364202192834162,0.0
kbm,-0.05947868676525801,-0.05947868676525801,0.0
