Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-84.892,0
-0.09,-84.031,0
-0.08,-83.114,0
-0.07,-82.132,0
-0.06,-81.075,0
-0.05,-79.933,0
-0.04,-78.694,0
-0.03,-77.348,0
-0.02,-75.884,0
-0.01,-74.298,0
-0.0,-72.599,0
0.01,-70.818,0
0.02,-69.011,0
0.03,-67.239,0
0.04,-65.551,0
0.05,-63.97,0
0.06,-62.502,0
0.07,-61.142,0
0.08,-59.879,0
0.09,-58.703,0
0.1,-57.603,0
0.11,-56.572,0
0.12,-55.603,0
0.13,-54.691,0
0.14,-53.832,0
0.15,-53.022,0
0.16,-52.259,0
0.17,-51.541,0
0.18,-50.864,0
0.19,-50.226,0
0.2,-49.626,1
0.21,-49.059,1
0.22,-48.524,1
0.23,-48.019,1
0.24,-47.541,1
0.25,-47.087,1
0.26,-46.656,1
0.27,-46.246,1
0.28,-45.855,1
0.29,-45.481,1
