time_ms,exp_voltage_mV,sim_voltage_mV
130.76000000000002,-45.51986818100462,-57.44895150141554
130.78,-45.51986818100462,-57.44897959561171
130.8,-45.238301986070574,-57.449007685194715
130.82000000000002,-45.11316145498877,-57.449035770164954
130.84,-45.175731720529676,-57.44906385052283
130.86,-45.11316145498877,-57.449091926268764
130.88000000000002,-45.14444658775922,-57.449119997403145
130.9,-45.14444658775922,-57.44914806392638
130.92000000000002,-45.175731720529676,-57.449176125838875
130.94,-45.20701685330012,-57.449204183141035
130.96,-45.01930605667742,-57.449232235833264
130.98000000000002,-45.08187632221832,-57.449260283915976
131.0,-45.14444658775922,-57.449288327389574
131.02,-44.95673579113652,-57.449316366254465
131.04000000000002,-44.83159526005472,-57.44934440051106
131.06,-44.95673579113652,-57.44937243015976
131.08,-44.92545065836607,-57.44940045520098
131.10000000000002,-44.92545065836607,-57.44942847563513
131.12,-44.95673579113652,-57.44945649146261
131.14000000000001,-44.80031012728427,-57.449484502683845
131.16,-44.894165525595625,-57.44951250929923
131.18,-44.988020923906966,-57.44954051130919
131.20000000000002,-44.76902499451382,-57.44956850871412
131.22,-44.86288039282517,-57.44959650151444
131.24,-44.92545065836607,-57.449624489710565
131.26000000000002,-44.76902499451382,-57.4496524733029
131.28,-44.581314197891125,-57.44968045229186
131.3,-44.73773986174337,-57.44970842667786
131.32000000000002,-44.86288039282517,-57.449736396461304
131.34,-44.80031012728427,-57.449764361642615
131.36,-44.581314197891125,-57.44979232222221
131.38000000000002,-44.86288039282517,-57.44982027820049
131.4,-44.86288039282517,-57.44984822957788
131.42000000000002,-44.73773986174337,-57.4498761763548
131.44,-44.55002906512067,-57.44990411853165
131.46,-44.581314197891125,-57.44993205610886
131.48000000000002,-44.83159526005472,-57.449959989086835
131.5,-44.67516959620247,-57.449987917466
131.52,-44.45617366680933,-57.45001584124676
131.54000000000002,-44.55002906512067,-57.450043760429544
131.56,-44.581314197891125,-57.45007167501477
131.58,-44.70645472897292,-57.45009958500285
131.60000000000002,-44.42488853403887,-57.45012749039421
131.62,-44.45617366680933,-57.450155391189256
131.64000000000001,-44.45617366680933,-57.45018328738842
131.66,-44.33103313572752,-57.45021117899211
131.68,-44.299748002957074,-57.45023906600076
131.70000000000002,-44.33103313572752,-57.45026694841478
131.72,-44.45617366680933,-57.45029482623459
131.74000000000004,-44.36231826849797,-57.450322699460614
131.76000000000002,-44.299748002957074,-57.45035056809328
131.78,-44.205892604645726,-57.45037843213299
131.8,-44.205892604645726,-57.450406291580194
131.82000000000002,-44.237177737416175,-57.45043414643529
131.84,-44.11203720633437,-57.450461996698714
131.86,-44.36231826849797,-57.450489842370885
131.88,-44.299748002957074,-57.450517683452226
131.9,-43.986896675252574,-57.45054551994316
131.92000000000002,-44.205892604645726,-57.45057335184412
131.94,-44.205892604645726,-57.45060117915552
131.96,-44.08075207356393,-57.45062900187779
131.98000000000002,-43.893041276941226,-57.45065682001136
132.0,-44.14332233910483,-57.45068463355665
132.02,-44.08075207356393,-57.45071244251408
132.04000000000002,-43.924326409711675,-57.45074024688409
132.06,-43.955611542482124,-57.45076804666709
132.08,-44.01818180802303,-57.450795841863524
132.10000000000002,-43.861756144170776,-57.450823632473806
132.12,-43.76790074585943,-57.450851418498374
132.14000000000001,-43.580189949236726,-57.45087919993765
132.16,-43.51761968369582,-57.45090697679207
132.18,-43.611475082007175,-57.45093474906205
132.20000000000002,-43.580189949236726,-57.45096251674803
132.22,-43.48633455092538,-57.45099027985043
132.24000000000004,-43.42376428538448,-57.45101803836969
132.26000000000002,-43.42376428538448,-57.45104579230624
132.28,-43.42376428538448,-57.451073541660506
132.3,-43.39247915261402,-57.451101286432916
132.32000000000002,-43.298623754302675,-57.45112902662391
132.34,-43.298623754302675,-57.451156762233914
132.36,-43.36119401984358,-57.45118449326336
132.38,-43.42376428538448,-57.45121221971269
132.4,-43.329908887073124,-57.45123994158232
132.42000000000002,-43.267338621532225,-57.451267658872695
132.44,-43.17348322322088,-57.451295371584244
132.46000000000004,-43.11091295767998,-57.451323079717405
132.48000000000002,-42.98577242659818,-57.45135078327261
132.5,-43.11091295767998,-57.45137848225029
132.52,-42.954487293827725,-57.451406176650885
132.54000000000002,-43.04834269213908,-57.45143386647483
132.56,-42.89191702828683,-57.45146155172255
132.58,-42.73549136443458,-57.45148923239449
132.60000000000002,-42.82934676274593,-57.451516908491094
132.62,-42.923202161057276,-57.451544580012786
132.64000000000001,-42.82934676274593,-57.451572246960005
132.66,-42.579065700582326,-57.45159990933319
132.68,-42.641635966123225,-57.45162756713278
132.70000000000002,-42.70420623166412,-57.451655220359214
132.72,-42.42264003673008,-57.45168286901293
132.74000000000004,-42.48521030227098,-57.45171051309436
132.76000000000002,-42.51649543504143,-57.45173815260395
132.78,-42.36006977118918,-57.451765787542136
132.8,-42.20364410733693,-57.45179341790936
132.82000000000002,-42.36006977118918,-57.451821043706055
132.84,-42.266214372877826,-57.45184866493267
132.86,-42.07850357625513,-57.45187628158964
132.88,-42.17235897456648,-57.45190389367741
132.9,-42.29749950564828,-57.45193150119643
132.92000000000002,-42.20364410733693,-57.45195910414712
132.94,-42.10978870902558,-57.451986702529936
132.96000000000004,-42.01593331071423,-57.45201429634532
132.98000000000002,-42.01593331071423,-57.45204188559371
133.0,-41.85950764686198,-57.45206947027555
133.02,-41.79693738132108,-57.45209705039129
133.04000000000002,-41.85950764686198,-57.452124625941366
133.06,-41.890792779632434,-57.45215219692622
133.08,-41.79693738132108,-57.45217976334631
