Parameter,Global_fit,Local_fit,Change
gna,210.5323871395837,210.5323873022259,1.6264220903394744e-07
gkht,126.03957064682517,126.03957177661432,1.1297891546746541e-06
gklt,3.5758361232253186,3.575841328812288,5.205586969481146e-06
gh,2.180601414163439,2.180601773665028,3.5950158894237916e-07
gka,117.67085827642828,117.67085832508073,4.865245273322216e-08
gleak,8.852258155127913,8.85225816025539,5.127477109567735e-09
stim_amp,0.07996616543555639,0.0799661608036886,-4.631867792093125e-09
cam,76.55528257647903,76.55528269293646,1.1645742858945596e-07
kam,0.043439510711460294,0.04343949387569996,-1.6835760334454886e-08
cbm,8.223964766062348,8.223965242417494,4.763551455511106e-07
kbm,-0.030376277354494587,-0.030376289127368263,-1.1772873675930384e-08
