Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-85.677,0
-0.09,-84.597,0
-0.08,-83.432,0
-0.07,-82.165,0
-0.06,-80.779,0
-0.05,-79.253,0
-0.04,-77.562,0
-0.03,-75.68,0
-0.02,-73.587,0
-0.01,-71.278,0
-0.0,-68.788,0
0.01,-66.183,0
0.02,-63.53,0
0.03,-60.866,0
0.04,-58.201,0
0.05,-55.58,0
0.06,-53.166,0
0.07,-51.159,0
0.08,-56.648,44
0.09,-56.466,50
0.1,-55.762,55
0.11,-54.997,60
0.12,-54.063,64
0.13,-53.858,68
0.14,-53.225,71
0.15,-53.145,75
0.16,-52.097,78
0.17,-51.909,81
0.18,-50.664,83
0.19,-50.454,86
0.2,-49.918,88
0.21,-48.707,91
0.22,-47.79,93
0.23,-47.966,95
0.24,-46.855,96
0.25,-45.71,98
0.26,-45.764,99
0.27,-45.214,101
0.28,-44.215,102
0.29,-43.367,103
0.3,-42.806,103
0.31,-41.709,104
0.32,-40.747,104
0.33,-39.974,104
0.34,-39.538,103
0.35,-38.503,101
0.36,-37.629,13
0.37,-37.419,9
0.38,-37.213,7
0.39,-37.011,6
0.4,-36.813,5
0.41,-36.619,5
0.42,-36.428,4
0.43,-36.24,4
0.44,-36.055,4
0.45,-35.873,3
0.46,-35.693,3
0.47,-35.517,3
0.48,-35.343,3
0.49,-35.171,3
