Mid_Current_nA,InputResistance_GOhm
-0.095,0.108
-0.08499999999999999,0.116
-0.07500000000000001,0.127
-0.065,0.139
-0.055,0.153
-0.045,0.169
-0.035,0.188
-0.025,0.209
-0.015,0.231
-0.005,0.249
0.005,0.26
0.015,0.265
0.025,0.266
0.035,0.266
0.045,0.262
0.055,0.241
0.065,0.201
0.07500000000000001,-0.549
0.08499999999999999,0.018
0.095,0.07
0.10500000000000001,0.077
0.11499999999999999,0.093
0.125,0.021
0.135,0.063
0.14500000000000002,0.008
0.155,0.105
0.165,0.019
0.175,0.124
0.185,0.021
0.195,0.054
0.20500000000000002,0.121
0.215,0.092
0.225,-0.018
0.235,0.111
0.245,0.114
0.255,-0.005
0.265,0.055
0.275,0.1
0.28500000000000003,0.085
0.295,0.056
0.305,0.11
0.315,0.096
0.325,0.077
0.335,0.044
0.345,0.104
0.355,0.087
0.365,0.021
0.375,0.021
0.385,0.02
0.395,0.02
0.405,0.019
0.415,0.019
0.425,0.019
0.435,0.019
0.445,0.018
0.455,0.018
0.46499999999999997,0.018
0.475,0.017
0.485,0.017
