Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-85.682,0
-0.09,-84.603,0
-0.08,-83.438,0
-0.07,-82.173,0
-0.06,-80.787,0
-0.05,-79.261,0
-0.04,-77.568,0
-0.03,-75.68,0
-0.02,-73.571,0
-0.01,-71.229,0
-0.0,-68.674,0
0.01,-65.96,0
0.02,-63.144,0
0.03,-60.258,0
0.04,-57.321,0
0.05,-54.445,0
0.06,-51.916,0
0.07,-49.935,0
0.08,-56.108,42
0.09,-55.988,48
0.1,-55.741,53
0.11,-55.071,57
0.12,-54.631,61
0.13,-54.071,65
0.14,-53.8,69
0.15,-53.37,72
0.16,-52.589,75
0.17,-51.937,78
0.18,-51.067,81
0.19,-50.937,83
0.2,-49.671,85
0.21,-49.173,88
0.22,-48.865,90
0.23,-48.305,92
0.24,-47.3,94
0.25,-47.149,96
0.26,-46.575,97
0.27,-45.934,99
0.28,-44.669,100
0.29,-44.149,101
0.3,-43.607,102
0.31,-42.832,103
0.32,-42.078,104
0.33,-40.827,104
0.34,-39.786,104
0.35,-39.003,103
0.36,-36.392,11
0.37,-36.174,8
0.38,-35.96,6
0.39,-35.75,5
0.4,-35.544,5
0.41,-35.342,4
0.42,-35.143,4
0.43,-34.948,3
0.44,-34.756,3
0.45,-34.567,3
0.46,-34.381,3
0.47,-34.198,2
0.48,-34.017,2
0.49,-33.839,2
