Mid_Current_nA,InputResistance_GOhm
-0.095,0.108
-0.08499999999999999,0.116
-0.07500000000000001,0.127
-0.065,0.139
-0.055,0.153
-0.045,0.169
-0.035,0.189
-0.025,0.211
-0.015,0.234
-0.005,0.255
0.005,0.271
0.015,0.282
0.025,0.289
0.035,0.294
0.045,0.288
0.055,0.253
0.065,0.198
0.07500000000000001,-0.617
0.08499999999999999,0.012
0.095,0.025
0.10500000000000001,0.067
0.11499999999999999,0.044
0.125,0.056
0.135,0.027
0.14500000000000002,0.043
0.155,0.078
0.165,0.065
0.175,0.087
0.185,0.013
0.195,0.127
0.20500000000000002,0.05
0.215,0.031
0.225,0.056
0.235,0.101
0.245,0.015
0.255,0.057
0.265,0.064
0.275,0.126
0.28500000000000003,0.052
0.295,0.054
0.305,0.077
0.315,0.075
0.325,0.125
0.335,0.104
0.345,0.078
0.355,0.261
0.365,0.022
0.375,0.021
0.385,0.021
0.395,0.021
0.405,0.02
0.415,0.02
0.425,0.02
0.435,0.019
0.445,0.019
0.455,0.019
0.46499999999999997,0.018
0.475,0.018
0.485,0.018
