Mid_Current_nA,InputResistance_GOhm
-0.095,0.125
-0.08499999999999999,0.132
-0.07500000000000001,0.141
-0.065,0.15
-0.055,0.162
-0.045,0.175
-0.035,0.189
-0.025,0.205
-0.015,0.22
-0.005,0.233
0.005,0.24
0.015,0.239
0.025,0.232
0.035,0.221
0.045,0.208
0.055,0.195
0.065,0.184
0.07500000000000001,0.175
0.08499999999999999,0.167
0.095,0.16
0.10500000000000001,0.152
0.11499999999999999,0.143
0.125,0.132
0.135,-0.118
0.14500000000000002,0.175
0.155,-0.026
0.165,0.095
0.175,0.014
0.185,0.098
0.195,0.055
0.20500000000000002,0.04
