Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-77.352,0
-0.09,-76.559,0
-0.08,-75.715,0
-0.07,-74.816,0
-0.06,-73.854,0
-0.05,-72.822,0
-0.04,-71.712,0
-0.03,-70.516,0
-0.02,-69.225,0
-0.01,-67.832,0
-0.0,-66.331,0
0.01,-64.717,0
0.02,-62.985,0
0.03,-61.129,0
0.04,-59.135,0
0.05,-57.0,0
0.06,-54.771,0
0.07,-52.615,0
0.08,-50.751,0
0.09,-51.019,43
0.1,-50.507,49
0.11,-50.269,53
0.12,-49.487,57
0.13,-48.085,60
0.14,-46.949,63
0.15,-46.309,65
0.16,-45.735,67
0.17,-44.8,69
0.18,-44.102,70
0.19,-42.619,70
0.2,-41.655,70
0.21,-41.559,5
0.22,-41.196,4
0.23,-40.849,3
0.24,-40.518,3
0.25,-40.199,3
0.26,-39.891,2
0.27,-39.594,2
0.28,-39.306,2
0.29,-39.027,2
0.3,-38.756,2
0.31,-38.492,2
0.32,-38.235,1
0.33,-37.983,1
0.34,-37.738,1
0.35,-37.498,1
0.36,-37.263,1
0.37,-37.033,1
0.38,-36.807,1
0.39,-36.585,1
0.4,-36.367,1
0.41,-36.153,1
0.42,-35.942,1
0.43,-35.734,1
0.44,-35.53,1
0.45,-35.328,1
0.46,-35.129,1
0.47,-34.933,1
0.48,-34.739,1
0.49,-34.548,1
