Mid_Current_nA,InputResistance_GOhm
-0.095,0.086
-0.08499999999999999,0.091
-0.07500000000000001,0.096
-0.065,0.103
-0.055,0.109
-0.045,0.117
-0.035,0.125
-0.025,0.132
-0.015,0.139
-0.005,0.146
0.005,0.151
0.015,0.155
0.025,0.158
0.035,0.162
0.045,0.165
0.055,0.17
0.065,0.178
0.07500000000000001,0.189
0.08499999999999999,0.201
0.095,0.205
0.10500000000000001,0.186
0.11499999999999999,-0.164
0.125,0.13
0.135,0.029
0.14500000000000002,0.125
0.155,0.018
0.165,0.135
0.175,0.049
0.185,0.046
0.195,0.144
0.20500000000000002,0.026
0.215,0.099
0.225,0.079
0.235,0.125
0.245,-0.004
0.255,0.139
0.265,0.055
0.275,0.076
0.28500000000000003,-0.009
0.295,0.072
0.305,0.031
0.315,-0.051
0.325,0.026
0.335,0.025
0.345,0.025
0.355,0.024
0.365,0.024
0.375,0.023
0.385,0.023
