Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-85.681,0
-0.09,-84.603,0
-0.08,-83.44,0
-0.07,-82.176,0
-0.06,-80.795,0
-0.05,-79.276,0
-0.04,-77.597,0
-0.03,-75.734,0
-0.02,-73.67,0
-0.01,-71.407,0
-0.0,-68.981,0
0.01,-66.459,0
0.02,-63.905,0
0.03,-61.353,0
0.04,-58.808,0
0.05,-56.292,0
0.06,-53.908,0
0.07,-51.836,0
0.08,-50.163,0
0.09,-56.141,48
0.1,-55.804,54
0.11,-55.2,59
0.12,-55.462,63
0.13,-54.49,67
0.14,-53.614,71
0.15,-53.536,75
0.16,-52.64,78
0.17,-52.251,81
0.18,-51.308,84
0.19,-50.184,87
0.2,-49.937,89
0.21,-49.487,91
0.22,-49.149,93
0.23,-48.06,95
0.24,-47.544,97
0.25,-46.521,99
0.26,-45.832,100
0.27,-45.315,102
0.28,-44.579,103
0.29,-43.92,104
0.3,-43.415,105
0.31,-42.015,105
0.32,-41.255,105
0.33,-40.322,105
0.34,-40.048,105
0.35,-38.686,103
0.36,-37.748,17
0.37,-37.535,12
0.38,-37.327,9
0.39,-37.123,8
0.4,-36.923,7
0.41,-36.726,6
0.42,-36.533,6
0.43,-36.343,5
0.44,-36.156,5
0.45,-35.972,5
0.46,-35.792,4
0.47,-35.613,4
0.48,-35.438,4
0.49,-35.264,4
