Stimulus (pA),Latency to Threshold (ms),Latency to Peak (ms)
-100,,
-80,,
-60,,
-40,,
-20,,
0,,
20,,
40,,
60,,
80,,
100,45.01999999991304,45.43999999991266
120,4.439999999949949,4.79999999994962
140,2.759999999951477,3.099999999951166
160,2.0999999999520753,2.439999999951766
180,1.7199999999524191,2.0799999999520935
200,1.4599999999526556,1.81999999995233
220,1.2799999999528193,1.6199999999525119
240,1.1199999999529684,1.4799999999526392
260,0.9999999999530758,1.3599999999527483
280,0.8999999999531685,1.2799999999528193
300,0.7999999999532577,1.1999999999528939
320,0.7199999999533304,1.1199999999529684
340,0.6399999999534032,1.0599999999530194
360,0.5399999999534941,1.0199999999530576
380,0.5199999999535123,0.9599999999531121
