Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-78.301,0
-0.08,-76.651,0
-0.06,-74.81,0
-0.04,-72.748,0
-0.02,-70.45,0
0.0,-67.921,0
0.02,-65.191,0
0.04,-62.277,0
0.06,-59.105,0
0.08,-55.34,0
0.1,-48.877,8
0.12,-47.668,42
0.14,-45.34,53
0.16,-43.625,60
0.18,-41.392,65
0.2,-39.116,69
0.22,-37.69,72
0.24,-36.113,73
0.26,-34.357,74
0.28,-32.932,5
0.3,-32.829,3
0.32,-32.226,3
0.34,-31.653,2
0.36,-31.103,2
0.38,-30.573,2
