Mid_Current_nA,InputResistance_GOhm
-0.095,0.109
-0.08499999999999999,0.117
-0.07500000000000001,0.125
-0.065,0.134
-0.055,0.145
-0.045,0.157
-0.035,0.171
-0.025,0.185
-0.015,0.201
-0.005,0.218
0.005,0.238
0.015,0.267
0.025,0.322
0.035,0.502
0.045,-0.073
0.055,0.108
0.065,0.049
0.07500000000000001,0.106
0.08499999999999999,0.11
0.095,0.112
0.10500000000000001,0.115
0.11499999999999999,0.046
0.125,0.108
0.135,0.086
0.14500000000000002,0.049
0.155,0.136
0.165,0.096
0.175,0.157
0.185,0.071
0.195,0.095
0.20500000000000002,0.059
0.215,0.126
0.225,0.065
0.235,0.081
0.245,0.097
0.255,0.028
0.265,0.027
0.275,0.026
0.28500000000000003,0.026
0.295,0.025
0.305,0.025
0.315,0.024
0.325,0.024
0.335,0.023
0.345,0.023
0.355,0.023
0.365,0.022
0.375,0.022
0.385,0.022
0.395,0.021
0.405,0.021
0.415,0.021
0.425,0.02
0.435,0.02
0.445,0.02
0.455,0.02
0.46499999999999997,0.02
0.475,0.019
0.485,0.019
