Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-84.892,0
-0.09,-84.031,0
-0.08,-83.114,0
-0.07,-82.131,0
-0.06,-81.074,0
-0.05,-79.932,0
-0.04,-78.694,0
-0.03,-77.347,0
-0.02,-75.881,0
-0.01,-74.293,0
-0.0,-72.591,0
0.01,-70.808,0
0.02,-68.999,0
0.03,-67.227,0
0.04,-65.54,0
0.05,-63.959,0
0.06,-62.493,0
0.07,-61.134,0
0.08,-59.872,0
0.09,-58.696,0
0.1,-57.598,0
0.11,-56.568,0
0.12,-55.599,0
0.13,-54.688,0
0.14,-53.829,0
0.15,-53.019,0
0.16,-52.257,0
0.17,-51.539,0
0.18,-50.862,0
0.19,-50.225,0
0.2,-49.624,1
0.21,-49.058,1
0.22,-48.524,1
0.23,-48.018,1
0.24,-47.54,1
0.25,-47.086,1
0.26,-46.656,1
0.27,-46.246,1
0.28,-45.855,1
0.29,-45.481,1
0.3,-45.123,1
0.31,-44.78,1
0.32,-44.451,1
0.33,-44.134,1
0.34,-43.828,1
0.35,-43.534,1
0.36,-43.248,1
0.37,-42.972,1
0.38,-42.705,1
0.39,-42.445,1
0.4,-42.192,1
0.41,-41.947,1
0.42,-41.708,1
0.43,-41.475,1
0.44,-41.247,1
0.45,-41.025,1
0.46,-40.808,1
0.47,-40.596,1
0.48,-40.388,1
0.49,-40.184,1
