time_ms,exp_voltage_mV,sim_voltage_mV
240.22000000000003,-49.08637331683591,-57.74507702815447
240.24,-48.83609225467231,-57.631075033415456
240.26000000000002,-48.74223685636096,-57.51786279796643
240.28000000000003,-48.99251791852456,-57.4054331513608
240.3,-48.867377387442765,-57.293778665064316
240.32,-48.929947652983664,-57.18289166381579
240.34000000000003,-48.80480712190186,-57.072764236510906
240.36,-48.67966659082006,-56.96338824661216
240.38000000000002,-48.80480712190186,-56.8547554033459
240.40000000000003,-48.71095172359051,-56.74685733343822
240.42000000000002,-48.58581119250871,-56.63968546917325
240.44000000000003,-48.74223685636096,-56.533231056838396
240.46,-48.77352198913141,-56.42748516474631
240.48000000000002,-48.64838145804961,-56.32243869082824
240.50000000000003,-48.49195579419737,-56.218082369802524
240.52,-48.617096325279164,-56.11440677991414
240.54000000000002,-48.71095172359051,-56.01140234924728
240.56000000000003,-48.67966659082006,-55.90905936161261
240.58,-48.617096325279164,-55.807368142294145
240.6,-48.67966659082006,-55.70631890859128
240.62000000000003,-48.77352198913141,-55.605901751921444
240.64000000000001,-48.71095172359051,-55.50610664191264
240.66000000000003,-48.67966659082006,-55.40692343011161
240.68000000000004,-48.71095172359051,-55.308341853309166
240.70000000000002,-48.64838145804961,-55.21035153647281
240.72000000000003,-48.554526059738265,-55.11294199528522
240.74,-48.554526059738265,-55.0161026382865
240.76000000000002,-48.52324092696781,-54.91982276861327
240.78000000000003,-48.49195579419737,-54.8240917722151
240.8,-48.46067066142691,-54.72889897338761
240.82,-48.554526059738265,-54.63423359809044
240.84000000000003,-48.52324092696781,-54.54008477393898
240.86,-48.30424499757466,-54.44644152983105
240.88000000000002,-48.42938552865646,-54.35329279519369
240.90000000000003,-48.39810039588601,-54.260627398844534
240.92000000000002,-48.39810039588601,-54.16843406745211
240.94000000000003,-48.39810039588601,-54.07670142358619
240.96,-48.179104466492866,-53.98541798334853
240.98000000000002,-48.272959864804214,-53.894572193191905
241.00000000000003,-48.30424499757466,-53.80415259803348
241.02,-48.33553013034511,-53.71414763233432
241.04000000000002,-48.30424499757466,-53.62454561577222
241.06000000000003,-48.21038959926331,-53.53533474850756
241.08,-48.11653420095197,-53.44650310601498
241.10000000000002,-48.14781933372241,-53.35803863345803
241.12000000000003,-48.14781933372241,-53.26992913958325
241.14000000000001,-48.179104466492866,-53.18216229010662
241.16000000000003,-48.179104466492866,-53.0947256005679
241.18000000000004,-48.241674732033765,-53.00760642862726
241.20000000000002,-48.21038959926331,-52.920791965773745
241.22000000000003,-48.179104466492866,-52.83426948327219
241.24,-48.179104466492866,-52.748026099490545
241.26000000000002,-48.241674732033765,-52.66204874553529
241.28000000000003,-48.11653420095197,-52.57632415424596
241.3,-48.02267880264061,-52.490838848520696
241.32,-48.08524906818151,-52.405579128922696
241.34000000000003,-48.02267880264061,-52.32053106051482
241.36,-48.05396393541106,-52.23568045886756
241.38000000000002,-47.991393669870156,-52.15101287517912
241.40000000000003,-47.960108537099714,-52.06651358045119
241.42000000000002,-47.86625313878836,-51.982167548650565
241.44000000000003,-47.86625313878836,-51.897959505241985
241.46,-47.70982747493611,-51.81387409424715
241.48000000000002,-47.77239774047701,-51.72989561597209
241.50000000000003,-47.77239774047701,-51.64600800534351
241.52,-47.67854234216566,-51.56219480895302
241.54000000000002,-47.80368287324746,-51.47843916069635
241.56000000000003,-47.584686943854315,-51.39472375588817
241.58,-47.55340181108386,-51.31103082372221
241.60000000000002,-47.647257209395214,-51.22734209794052
241.62000000000003,-47.615972076624764,-51.143638785565834
241.64000000000001,-47.52211667831342,-51.05990153353546
241.66000000000003,-47.49083154554296,-50.976110393065454
241.68,-47.52211667831342,-50.89224488499558
241.70000000000002,-47.39697614723162,-50.8082841224394
241.72000000000003,-47.42826128000206,-50.72420651554631
241.74,-47.39697614723162,-50.63998972496933
241.76000000000002,-47.42826128000206,-50.55561061212134
241.78000000000003,-47.39697614723162,-50.47104518591717
241.8,-47.39697614723162,-50.38626854567017
241.82,-47.334405881690714,-50.301254819785555
241.84000000000003,-47.303120748920264,-50.215977099857916
241.86,-47.303120748920264,-50.130407369742585
241.88000000000002,-47.303120748920264,-50.044516429123206
241.90000000000003,-47.17798021783847,-49.95827381105772
241.92000000000002,-47.17798021783847,-49.87164790150701
241.94000000000003,-47.11540995229756,-49.78460587137204
241.96,-47.08412481952712,-49.697113358325176
241.98000000000002,-47.08412481952712,-49.60913435466389
242.00000000000003,-46.990269421215764,-49.520631085824725
242.02,-47.02155455398622,-49.431563878568504
242.04000000000002,-46.990269421215764,-49.34189101773974
242.06000000000003,-46.73998835905217,-49.251568590376394
242.08,-46.77127349182262,-49.16055031579671
242.10000000000002,-46.70870322628172,-49.068787360126215
242.12000000000003,-46.70870322628172,-48.976228133536665
242.14000000000001,-46.73998835905217,-48.88281820355489
242.16000000000003,-46.64613296074082,-48.78850032524454
242.18,-46.55227756242947,-48.693213801033394
242.20000000000002,-46.42713703134767,-48.59689418869131
242.22000000000003,-46.52099242965902,-48.499472979858446
242.24,-46.39585189857721,-48.400877245478625
242.26000000000002,-46.45842216411811,-48.301029243985234
242.28000000000003,-46.45842216411811,-48.19984598749032
242.3,-46.45842216411811,-48.09723876052583
242.32000000000002,-46.39585189857721,-47.993112585072446
242.34000000000003,-46.42713703134767,-47.88736566886702
242.36,-46.39585189857721,-47.77988934254418
242.38000000000002,-46.23942623472497,-47.670566728210495
242.40000000000003,-46.333281633036314,-47.55927191002233
242.42000000000002,-46.14557083641362,-47.44586900243432
242.44000000000003,-46.333281633036314,-47.330211100824506
242.46,-46.333281633036314,-47.21213909653908
242.48000000000002,-46.23942623472497,-47.09148033519478
242.50000000000003,-46.14557083641362,-46.968047093223205
242.52,-46.05171543810227,-46.8416350733057
242.54000000000002,-46.08300057087271,-46.71202190401047
242.56000000000003,-45.77014924316822,-46.57896426213473
242.58,-45.83271950870912,-46.442195274456935
242.60000000000002,-45.80143437593867,-46.30142152076913
242.62000000000003,-45.551153313775075,-46.15631956417529
242.64000000000001,-45.58243844654552,-46.00653191846385
242.66000000000003,-45.488583048234176,-45.85166234209674
242.68,-45.488583048234176,-45.69127152595198
242.70000000000002,-45.33215738438192,-45.52486962600631
242.72000000000003,-45.175731720529676,-45.35190856255706
242.74,-45.11316145498877,-45.17177292462935
242.76000000000002,-45.08187632221832,-44.98376910044691
242.78000000000003,-45.11316145498877,-44.78711235599262
242.8,-44.95673579113652,-44.58091253578838
242.82000000000002,-44.80031012728427,-44.36415353603576
242.84000000000003,-44.67516959620247,-44.135669827989915
242.86,-44.45617366680933,-43.89411748962409
242.88000000000002,-44.42488853403887,-43.637939196910814
242.90000000000003,-44.299748002957074,-43.3653196960331
242.92000000000002,-44.14332233910483,-43.074127626690284
242.94000000000003,-44.17460747187527,-42.76184269132103
242.96,-43.893041276941226,-42.42546415583258
242.98000000000002,-43.76790074585943,-42.06138731311598
243.00000000000003,-43.51761968369582,-41.6652411509814
243.02,-43.236053488761776,-41.23167584808386
243.04,-43.14219809045043,-40.7540678904409
243.06000000000003,-42.954487293827725,-40.224119160561706
243.08,-42.641635966123225,-39.63129463826422
243.10000000000002,-42.39135490395963,-38.962023548124286
243.12000000000003,-42.20364410733693,-38.19854150628596
243.14000000000001,-41.95336304517333,-37.317190886145355
243.16000000000003,-41.70308198300973,-36.28587013016011
243.18,-41.07737932760074,-35.0601680443199
243.20000000000002,-40.42039153942129,-33.577473322215404
243.22000000000003,-39.54440782184869,-31.74813620608362
243.24,-38.32428764380114,-29.44303266284854
243.26000000000002,-36.44717967757415,-26.479539983682017
243.28000000000003,-33.38123666607005,-22.618841982743703
243.3,-28.813607281584368,-17.618665283065045
243.32000000000002,-23.244853648444284,-11.42873350799109
243.34000000000003,-16.70626089942025,-4.5238390445565075
243.36,-9.479395229446324,2.042878682928441
243.38000000000002,-2.2212444267019436,7.2295862527810275
243.40000000000003,3.53522000306084,10.55768224867816
243.42000000000002,7.383291333826179,12.073210818020222
243.44000000000003,9.479395229446324,12.073234898343719
243.46,10.16766815039622,10.912199901654882
243.48000000000002,9.573250627757673,8.91531697274915
243.50000000000003,7.821283192612478,6.350634341726419
243.52,4.911765844960636,3.42544786926854
243.54000000000002,1.2826904435884463,0.29146550445981334
243.56000000000003,-2.9408024804222914,-2.947157449461103
243.58,-7.414576466596628,-6.225075867422924
243.60000000000002,-12.044776116623217,-9.507165778181784
243.62000000000003,-16.862686563272504,-12.780534268112337
243.64000000000001,-21.24260515113549,-16.04720992790424
243.66000000000003,-25.622523738998478,-19.31739739220048
243.68,-29.846016663009213,-22.603114042645924
243.70000000000002,-33.850513657626806,-25.912456143094786
243.72000000000003,-37.542159324539895,-29.24505044983892
243.74,-41.202519858682535,-32.589427981233285
243.76000000000002,-44.237177737416175,-35.92096085871481
243.78000000000003,-46.990269421215764,-39.194764520658254
243.8,-49.4617949100813,-42.337261041446226
243.82000000000002,-51.4014731418492,-45.268428917735456
243.84000000000003,-53.0283000459126,-47.947376401544425
243.86,-54.49870128612375,-50.370547674296475
243.88000000000002,-55.843961995253096,-52.54993636049933
243.90000000000003,-56.71994571282569,-54.50430094052077
243.92000000000002,-57.56464429762784,-56.25496892516485
243.94000000000003,-58.315487484118634,-57.82336627554004
243.96,-58.75347934290493,-59.22968620470656
243.98000000000002,-59.25404146723213,-60.49227462852605
244.00000000000003,-59.56689279493663,-61.627437483913255
244.02,-59.91102925541158,-62.649480542651204
244.04000000000002,-60.06745491926383,-63.570862910340054
244.06000000000003,-60.349021114197875,-64.40239987702975
244.08,-60.661872441902375,-65.15347576794575
244.10000000000002,-60.630587309131926,-65.83224593143478
244.12000000000003,-60.78701297298417,-66.44581585612158
244.14000000000001,-60.91215350406598,-67.00039888996908
244.16000000000003,-60.974723769606875,-67.50145300621548
244.18,-60.943438636836426,-67.95378832032179
244.20000000000002,-61.09986430068867,-68.36166669085226
244.22000000000003,-61.037294035147774,-68.72887571249925
244.24,-60.974723769606875,-69.05879708486482
244.26000000000002,-61.06857916791822,-69.35446038208703
244.28000000000003,-61.13114943345913,-69.61858749611625
244.3,-61.037294035147774,-69.85363287958063
244.32000000000002,-61.037294035147774,-70.06181587091498
244.34000000000003,-60.91215350406598,-70.24514810600189
244.36,-60.943438636836426,-70.40545721458174
244.38000000000002,-60.88086837129553,-70.54440796639832
244.4,-60.974723769606875,-70.6635199885722
244.42000000000002,-60.91215350406598,-70.76418321622612
244.44000000000003,-60.91215350406598,-70.84767141698478
244.46,-60.91215350406598,-70.91515406964939
244.48000000000002,-61.006008902377324,-70.96770682921226
244.50000000000003,-60.91215350406598,-71.00632077182726
244.52,-60.84958323852507,-71.03191057575663
244.54000000000002,-60.943438636836426,-71.0453217814952
244.56000000000003,-60.974723769606875,-71.04733728792876
244.58,-60.943438636836426,-71.03868310416333
244.60000000000002,-60.974723769606875,-71.02003348640439
244.62000000000003,-60.974723769606875,-70.99201553315076
244.64000000000001,-60.943438636836426,-70.95521330002971
244.66000000000003,-61.09986430068867,-70.91017149189999
244.68,-61.09986430068867,-70.857398791364
244.70000000000002,-61.09986430068867,-70.79737084639319
