Time (ms),Voltage (mV)
0.0,-61.38143049562272
0.02,-61.318860230081825
0.04,-61.19371969900003
0.06000000000000001,-60.943438636836426
0.08,-61.06857916791822
0.1,-61.13114943345913
0.12000000000000002,-61.22500483177048
0.14,-61.19371969900003
0.16,-61.06857916791822
0.18000000000000002,-61.06857916791822
0.2,-61.16243456622958
0.22,-61.256289964540926
0.24000000000000005,-61.22500483177048
0.26,-61.256289964540926
0.28,-61.318860230081825
0.30000000000000004,-61.19371969900003
0.32,-61.287575097311375
0.34,-61.256289964540926
0.36000000000000004,-61.22500483177048
0.38,-61.16243456622958
0.4,-61.318860230081825
0.42000000000000004,-61.256289964540926
0.44,-61.13114943345913
0.46,-61.006008902377324
0.4800000000000001,-61.006008902377324
0.5,-61.06857916791822
0.52,-61.16243456622958
0.54,-61.19371969900003
0.56,-61.13114943345913
0.58,-61.06857916791822
0.6000000000000001,-61.06857916791822
0.62,-61.19371969900003
0.64,-61.16243456622958
0.6600000000000001,-61.06857916791822
0.68,-61.16243456622958
0.7000000000000001,-61.256289964540926
0.7200000000000001,-61.09986430068867
0.7400000000000001,-61.006008902377324
0.76,-60.943438636836426
0.7800000000000001,-60.974723769606875
0.8,-60.974723769606875
0.8200000000000001,-61.13114943345913
0.8400000000000001,-60.943438636836426
0.8600000000000001,-60.84958323852507
0.88,-60.91215350406598
0.9000000000000001,-60.88086837129553
0.92,-60.88086837129553
0.9400000000000001,-60.943438636836426
0.9600000000000002,-60.88086837129553
0.9800000000000002,-60.88086837129553
1.0,-60.943438636836426
1.02,-61.006008902377324
1.04,-60.974723769606875
1.0600000000000003,-61.037294035147774
1.08,-61.006008902377324
1.1,-61.09986430068867
1.12,-60.974723769606875
1.1400000000000001,-60.943438636836426
1.16,-60.91215350406598
1.1800000000000002,-61.006008902377324
1.2000000000000002,-60.88086837129553
1.2200000000000002,-60.84958323852507
1.24,-60.943438636836426
1.26,-60.974723769606875
1.28,-61.037294035147774
1.3000000000000003,-61.09986430068867
1.3200000000000003,-61.09986430068867
1.34,-61.09986430068867
1.36,-61.19371969900003
1.3800000000000001,-61.13114943345913
1.4000000000000001,-61.06857916791822
1.42,-60.91215350406598
1.4400000000000002,-60.943438636836426
1.4600000000000002,-61.037294035147774
1.4800000000000002,-61.006008902377324
1.5,-60.974723769606875
1.52,-61.037294035147774
1.54,-61.09986430068867
1.5600000000000003,-61.287575097311375
1.58,-61.19371969900003
1.6,-61.006008902377324
1.62,-60.943438636836426
1.6400000000000001,-60.88086837129553
1.6600000000000001,-60.943438636836426
1.6800000000000002,-61.06857916791822
1.7000000000000002,-60.91215350406598
1.7200000000000002,-61.006008902377324
1.7400000000000002,-60.943438636836426
1.76,-61.09986430068867
1.78,-61.006008902377324
1.8000000000000003,-60.974723769606875
1.8200000000000003,-60.91215350406598
1.84,-60.974723769606875
1.86,-60.91215350406598
1.8800000000000001,-60.81829810575463
1.9000000000000001,-60.81829810575463
1.9200000000000004,-61.06857916791822
1.9400000000000002,-61.09986430068867
1.9600000000000004,-60.974723769606875
1.98,-60.88086837129553
2.0,-61.006008902377324
2.02,-61.037294035147774
2.04,-60.974723769606875
2.06,-60.88086837129553
2.08,-61.037294035147774
2.1,-61.09986430068867
2.1200000000000006,-61.006008902377324
2.14,-60.88086837129553
2.16,-60.943438636836426
2.18,-61.06857916791822
2.2,-60.91215350406598
2.22,-60.78701297298417
2.24,-60.81829810575463
2.2600000000000002,-61.06857916791822
2.2800000000000002,-61.06857916791822
2.3000000000000003,-60.91215350406598
2.32,-60.78701297298417
2.34,-60.943438636836426
2.3600000000000003,-61.09986430068867
2.3800000000000003,-60.91215350406598
2.4000000000000004,-60.75572784021373
2.4200000000000004,-60.81829810575463
2.4400000000000004,-60.84958323852507
2.4600000000000004,-60.88086837129553
2.48,-61.09986430068867
2.5,-60.78701297298417
2.52,-60.599302176361476
2.54,-60.72444270744327
2.56,-60.81829810575463
2.58,-60.693157574672824
2.6000000000000005,-60.72444270744327
2.6200000000000006,-60.56801704359103
2.6400000000000006,-60.599302176361476
2.66,-60.693157574672824
2.68,-60.661872441902375
2.7,-60.50544677805013
2.72,-60.56801704359103
2.74,-60.78701297298417
2.7600000000000002,-60.661872441902375
2.7800000000000002,-60.41159137973877
2.8000000000000003,-60.349021114197875
2.82,-60.31773598142743
2.84,-60.44287651250923
2.8600000000000003,-60.47416164527967
2.8800000000000003,-60.53673191082058
2.9000000000000004,-60.50544677805013
2.9200000000000004,-60.41159137973877
2.9400000000000004,-60.41159137973877
2.9600000000000004,-60.53673191082058
2.9800000000000004,-60.44287651250923
3.0,-60.41159137973877
3.02,-60.38030624696833
3.04,-60.50544677805013
3.06,-60.47416164527967
3.08,-60.38030624696833
3.1000000000000005,-60.349021114197875
3.1200000000000006,-60.349021114197875
3.1400000000000006,-60.38030624696833
3.16,-60.50544677805013
3.18,-60.50544677805013
3.2,-60.349021114197875
3.22,-60.16131031757518
3.24,-60.38030624696833
3.2600000000000002,-60.50544677805013
3.2800000000000002,-60.47416164527967
3.3000000000000003,-60.09874005203428
3.3200000000000003,-60.06745491926383
3.3400000000000003,-60.16131031757518
3.3600000000000003,-60.41159137973877
3.3800000000000003,-60.286450848656976
3.4000000000000004,-60.06745491926383
3.4200000000000004,-60.19259545034563
3.4400000000000004,-60.38030624696833
3.4600000000000004,-60.09874005203428
3.4800000000000004,-60.09874005203428
3.5,-60.06745491926383
3.52,-60.09874005203428
3.54,-60.22388058311608
3.56,-60.13002518480473
3.58,-60.22388058311608
3.6000000000000005,-59.879744122641135
3.6200000000000006,-60.036169786493375
3.6400000000000006,-60.22388058311608
3.6600000000000006,-60.25516571588653
3.68,-60.349021114197875
3.7,-60.16131031757518
3.72,-60.00488465372293
3.74,-60.00488465372293
3.7600000000000002,-60.19259545034563
3.7800000000000002,-60.16131031757518
3.8000000000000003,-60.06745491926383
3.8200000000000003,-59.973599520952476
3.8400000000000007,-60.00488465372293
3.8600000000000003,-60.09874005203428
3.8800000000000003,-60.13002518480473
3.9000000000000004,-60.13002518480473
3.920000000000001,-60.06745491926383
3.94,-60.09874005203428
3.96,-60.13002518480473
3.98,-60.09874005203428
4.0,-60.036169786493375
4.0200000000000005,-60.00488465372293
4.04,-60.09874005203428
4.0600000000000005,-60.13002518480473
4.08,-60.036169786493375
4.1000000000000005,-60.06745491926383
4.12,-60.19259545034563
4.140000000000001,-60.22388058311608
4.16,-60.13002518480473
4.180000000000001,-60.09874005203428
4.2,-60.19259545034563
4.220000000000001,-60.16131031757518
4.240000000000001,-60.16131031757518
4.260000000000001,-60.09874005203428
4.28,-60.036169786493375
4.3,-60.16131031757518
4.32,-60.09874005203428
4.34,-60.06745491926383
4.36,-60.06745491926383
4.38,-60.09874005203428
4.4,-60.00488465372293
4.42,-59.942314388182034
4.44,-59.973599520952476
4.460000000000001,-60.16131031757518
4.48,-60.16131031757518
4.500000000000001,-60.09874005203428
4.5200000000000005,-59.942314388182034
4.540000000000001,-60.09874005203428
4.5600000000000005,-60.09874005203428
4.580000000000001,-60.09874005203428
4.6000000000000005,-60.13002518480473
4.62,-60.036169786493375
4.64,-60.00488465372293
4.66,-60.00488465372293
4.68,-60.09874005203428
4.7,-60.16131031757518
4.720000000000001,-60.06745491926383
4.74,-59.942314388182034
4.760000000000001,-59.973599520952476
4.78,-60.19259545034563
4.800000000000001,-60.286450848656976
4.82,-60.22388058311608
4.840000000000001,-60.16131031757518
4.86,-60.06745491926383
4.880000000000001,-60.13002518480473
4.9,-60.31773598142743
4.920000000000001,-60.349021114197875
4.94,-60.19259545034563
4.96,-60.13002518480473
4.98,-60.13002518480473
5.0,-60.19259545034563
5.0200000000000005,-60.19259545034563
5.04,-60.036169786493375
5.0600000000000005,-60.06745491926383
5.08,-60.25516571588653
5.1000000000000005,-60.349021114197875
5.12,-60.22388058311608
5.140000000000001,-60.13002518480473
5.16,-60.06745491926383
5.180000000000001,-60.09874005203428
5.200000000000001,-60.16131031757518
5.220000000000001,-60.19259545034563
5.240000000000001,-60.16131031757518
5.260000000000001,-60.06745491926383
5.280000000000001,-60.06745491926383
5.3,-60.06745491926383
5.32,-60.19259545034563
