Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-79.3,0
-0.09,-78.443,0
-0.08,-77.532,0
-0.07,-76.562,0
-0.06,-75.526,0
-0.05,-74.418,0
-0.04,-73.231,0
-0.03,-71.959,0
-0.02,-70.597,0
-0.01,-69.143,0
-0.0,-67.598,0
0.01,-65.962,0
0.02,-64.235,0
0.03,-62.406,0
0.04,-60.447,0
0.05,-58.299,0
0.06,-55.856,0
0.07,-53.045,0
0.08,-50.317,0
0.09,-54.806,46
0.1,-53.737,52
0.11,-52.611,58
0.12,-52.892,62
0.13,-51.902,66
0.14,-50.734,70
0.15,-50.712,73
0.16,-49.444,76
0.17,-48.892,79
0.18,-48.088,82
0.19,-47.486,84
0.2,-46.956,86
0.21,-45.819,88
0.22,-45.181,90
0.23,-44.478,91
0.24,-43.811,92
0.25,-43.186,93
0.26,-42.067,94
0.27,-40.977,95
0.28,-40.29,95
0.29,-39.531,95
0.3,-38.581,95
0.31,-37.687,94
0.32,-37.137,11
0.33,-37.191,8
0.34,-36.962,7
0.35,-36.739,6
0.36,-36.521,6
0.37,-36.306,5
0.38,-36.096,5
0.39,-35.89,4
0.4,-35.687,4
0.41,-35.488,4
0.42,-35.292,4
0.43,-35.099,4
0.44,-34.909,3
0.45,-34.722,3
0.46,-34.538,3
0.47,-34.356,3
0.48,-34.176,3
0.49,-33.999,3
