Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-84.336,0
-0.09,-83.49,0
-0.08,-82.589,0
-0.07,-81.622,0
-0.06,-80.582,0
-0.05,-79.458,0
-0.04,-78.237,0
-0.03,-76.908,0
-0.02,-75.46,0
-0.01,-73.885,0
-0.0,-72.189,0
0.01,-70.399,0
0.02,-68.57,0
0.03,-66.764,0
0.04,-65.034,0
0.05,-63.41,0
0.06,-61.899,0
0.07,-60.498,0
0.08,-59.195,0
0.09,-57.979,0
0.1,-56.84,0
0.11,-55.768,0
0.12,-54.757,0
0.13,-53.801,0
0.14,-52.895,0
0.15,-52.037,0
0.16,-51.225,0
0.17,-50.456,0
0.18,-49.729,0
0.19,-49.041,0
0.2,-48.392,1
0.21,-47.778,1
0.22,-47.198,1
0.23,-46.649,1
0.24,-46.128,1
0.25,-45.635,1
0.26,-45.166,1
0.27,-44.72,1
0.28,-44.295,1
0.29,-43.889,1
