time_ms,voltage_mV
0.0,-62.377674189605344
0.02,-62.52612269638084
0.04,-62.673993712798755
0.060000000000000005,-62.821045708579376
0.08,-62.96708377839023
0.09999999999999999,-63.1119522752885
0.11999999999999998,-63.25552848860315
0.13999999999999999,-63.39771699355668
0.16,-63.53844487926476
0.18000000000000002,-63.677657750449264
0.20000000000000004,-63.81531637503399
0.22000000000000006,-63.95139388976948
0.24000000000000007,-64.08587348226497
0.26000000000000006,-64.21874655998351
0.2800000000000001,-64.35001112974346
0.3000000000000001,-64.47967045332508
0.3200000000000001,-64.60773198774386
0.34000000000000014,-64.73420651953201
0.36000000000000015,-64.85910745895184
0.38000000000000017,-64.98245026567808
0.4000000000000002,-65.10425198229343
0.4200000000000002,-65.22453094607096
0.4400000000000002,-65.34330640046272
0.46000000000000024,-65.46059823189957
0.48000000000000026,-65.57642677055999
0.5000000000000002,-65.69081263013479
0.5200000000000002,-65.8037765792793
0.5400000000000003,-65.91533943878832
0.5600000000000003,-66.02552199963095
0.5800000000000003,-66.13434497732783
0.6000000000000003,-66.24182900268688
0.6200000000000003,-66.34799451333504
0.6400000000000003,-66.45286172258908
0.6600000000000004,-66.55645059556025
0.6800000000000004,-66.6587808310885
0.7000000000000004,-66.75987184836887
0.7200000000000004,-66.85974277734898
0.7400000000000004,-66.95841245215277
0.7600000000000005,-67.05589940692784
0.7800000000000005,-67.15222191057869
0.8000000000000005,-67.2473979530827
0.8200000000000005,-67.34144521706263
0.8400000000000005,-67.43438107953789
0.8600000000000005,-67.52622261444536
0.8800000000000006,-67.61698659576024
0.9000000000000006,-67.70668950107981
0.9200000000000006,-67.7953475155607
0.9400000000000006,-67.88297653612115
0.9600000000000006,-67.96959217583766
0.9800000000000006,-68.05520976847953
1.0000000000000007,-68.1398444046907
1.0200000000000007,-68.22351091961863
1.0400000000000007,-68.30622387933015
1.0600000000000007,-68.3879975857129
1.0800000000000007,-68.4688460813639
1.1000000000000008,-68.54878315444911
1.1200000000000008,-68.62782234352092
1.1400000000000008,-68.70597694228397
1.1600000000000008,-68.78326000430147
1.1800000000000008,-68.85968434763635
1.2000000000000008,-68.93526255942281
1.2200000000000009,-69.01000700036523
1.2400000000000009,-69.08392981410616
1.260000000000001,-69.15704295763622
1.280000000000001,-69.22935817169753
1.300000000000001,-69.30088698511976
1.320000000000001,-69.37164071907786
1.340000000000001,-69.44163049127
1.360000000000001,-69.5108672200155
1.380000000000001,-69.57936162827247
1.400000000000001,-69.64712424757565
1.420000000000001,-69.71416542189485
1.440000000000001,-69.78049531141488
1.460000000000001,-69.84612389623781
1.480000000000001,-69.91106098000871
1.500000000000001,-69.975316193466
1.5200000000000011,-70.03889899791764
1.5400000000000011,-70.10181870508366
1.5600000000000012,-70.16408447297508
1.5800000000000012,-70.22570529817443
1.6000000000000012,-70.2866900191328
1.6200000000000012,-70.347047319397
1.6400000000000012,-70.40678573076794
1.6600000000000013,-70.46591363639071
1.6800000000000013,-70.52443927377782
1.7000000000000013,-70.58237073776625
1.7200000000000013,-70.63971598340991
1.7400000000000013,-70.69648282880841
1.7600000000000013,-70.75267895787366
1.7800000000000014,-70.80831192303536
1.8000000000000014,-70.86338914788696
1.8200000000000014,-70.91791792977298
1.8400000000000014,-70.9719054423194
1.8600000000000014,-71.02535873790801
1.8800000000000014,-71.07828475929753
1.9000000000000015,-71.13069034214188
1.9200000000000015,-71.18258220655727
1.9400000000000015,-71.23396695945827
1.9600000000000015,-71.28485109684209
1.9800000000000015,-71.33524100602216
2.0000000000000013,-71.38514296781177
2.020000000000001,-71.4345631586587
2.0400000000000005,-71.48350765273199
2.06,-71.53198242396162
2.0799999999999996,-71.57999334803245
2.099999999999999,-71.62754620433309
2.1199999999999988,-71.67464667786112
2.1399999999999983,-71.72130036108538
2.159999999999998,-71.76751275576649
2.1799999999999975,-71.81328927473659
2.199999999999997,-71.85863524363933
2.2199999999999966,-71.90355590263088
2.239999999999996,-71.94805640804323
2.259999999999996,-71.99214183401035
2.2799999999999954,-72.03581717405842
2.299999999999995,-72.07908735382448
2.3199999999999945,-72.1219572230373
2.339999999999994,-72.16443155445769
2.3599999999999937,-72.20651504538043
2.3799999999999932,-72.24821231910302
2.399999999999993,-72.28952792636176
2.4199999999999924,-72.33046634673575
2.439999999999992,-72.37103199001956
2.4599999999999915,-72.41122919756528
2.479999999999991,-72.45106224359456
2.4999999999999907,-72.49053533648151
2.5199999999999902,-72.5296526200069
2.53999999999999,-72.5684181745846
2.5599999999999894,-72.6068360184608
2.579999999999989,-72.64491010888676
2.5999999999999885,-72.68264434326564
2.619999999999988,-72.72004256027408
2.6399999999999877,-72.7571085409593
2.6599999999999873,-72.7938460098121
2.679999999999987,-72.83025863581655
2.6999999999999864,-72.8663500334768
2.719999999999986,-72.90212376382172
2.7399999999999856,-72.93758333538773
2.759999999999985,-72.9727322051806
2.7799999999999847,-73.00757377961656
2.7999999999999843,-73.04211141749464
2.819999999999984,-73.07634843600586
2.8399999999999834,-73.11028810383293
2.859999999999983,-73.14393364204422
2.8799999999999826,-73.17728822496866
2.899999999999982,-73.21035498105189
2.9199999999999817,-73.2431369936939
2.9399999999999813,-73.27563730206872
2.959999999999981,-73.30785890192645
2.9799999999999804,-73.33980474637802
2.99999999999998,-73.37147774666307
3.0199999999999796,-73.4028807729014
3.039999999999979,-73.43401665482826
3.0599999999999787,-73.46488818251407
3.0799999999999783,-73.49549810706871
3.099999999999978,-73.52584914133088
3.1199999999999775,-73.55594396054292
3.139999999999977,-73.58578520301137
