Parameter,Global_fit,Local_fit,Change
gna,282.5025098157306,282.5025962289667,8.641323609026585e-05
gkht,386.55549291626534,386.5553761612859,-0.00011675497944452218
gklt,24.537385510319325,24.537385495308097,-1.5011227816330575e-08
gh,13.518644367351364,13.51864437562166,8.270296447676628e-09
gka,83.70937608069944,83.70935047527001,-2.5605429428310345e-05
gleak,4.595346758073379,4.595346755262086,-2.811293420279526e-09
stim_amp,0.20001891462892735,0.20001892686547823,1.2236550883670816e-08
cam,91.84700918581593,91.84701480473754,5.618921605332616e-06
kam,0.028934364302497764,0.028934362532381065,-1.7701166990513606e-09
cbm,6.8844218896672515,6.8844214684991885,-4.211680630916703e-07
kbm,-0.0543197369234889,-0.05431974024660575,-3.323116851139396e-09
