Parameter,Global_fit,Local_fit,Change
gna,172.8593357163777,172.85934355682974,7.840452042273682e-06
gkht,125.13051142046696,125.13050737711413,-4.043352831217817e-06
gklt,8.983928376125718,8.98389248132624,-3.589479947763152e-05
gh,23.749178504730335,23.749180807207274,2.3024769397750333e-06
gka,109.94377551490604,109.94377223482105,-3.280084982293374e-06
gleak,2.501016485437508,2.5010164545022304,-3.0935277450794274e-08
stim_amp,0.0999897576092202,0.09998988132019866,1.2371097846131107e-07
cam,85.41229046590668,85.41229693831588,6.472409197044726e-06
kam,0.032765515278477784,0.03276547013135559,-4.51471221935007e-08
cbm,5.969273724270785,5.969278318950551,4.59467976643424e-06
kbm,-0.05046519828490213,-0.05046526708099472,-6.879609258658714e-08
