Parameter,Value
gna,910.156306794976
gkht,738.0443011513283
gklt,27.43739136424048
gh,32.70289423211803
cam,141.3386953595984
kam,0.011365554141321768
cbm,69.09929000278096
kbm,-0.031513029990200524
cah,0.0023264607062087822
kah,-0.14486478928244
cbh,0.45518380644474754
kbh,0.02869754508967894
can,0.19083271924669334
kan,0.021336258800680456
cbn,0.1481873134470947
kbn,0.5877614448396101
cap,0.005197577205494787
kap,0.06732858622296349
cbp,0.09293947288587114
kbp,0.004148682685005537
na_scale,2.256413425408884
kht_scale,2.886869085006968
klt_scale,4.674976655959728
ih_soma,3.093952134439996
ih_dend,0.2547509702782969
stim_amp,0.3254476915950761
