Parameter,Value
gna,1416.0123278089939
gkht,504.1895332055238
gklt,181.1305640280483
cam,159.96063810830867
kam,0.038763554697581803
cbm,36.10239224810979
kbm,-0.011374372197049346
cah,0.0038273742096395632
kah,-0.07193905438794485
cbh,3.7724515669908785
kbh,0.05197961759827092
can,0.1997455115506199
kan,0.011667736308312996
cbn,0.1545514148737972
kbn,0.025339511200545613
cap,0.00698627922007941
kap,0.08303922709257319
cbp,0.08936245570775059
kbp,0.0064162059612702105
na_scale,2.8301008647028105
kht_scale,3.9274636587324028
klt_scale,2.9352666551754556
ih_scale,3.686874280057447
stim_amp,0.38200846164706054
