Mid_Current_nA,InputResistance_GOhm
-0.095,0.105
-0.08499999999999999,0.111
-0.07500000000000001,0.117
-0.065,0.124
-0.055,0.132
-0.045,0.139
-0.035,0.147
-0.025,0.154
-0.015,0.159
-0.005,0.161
0.005,0.161
0.015,0.157
0.025,0.151
0.035,0.144
0.045,0.136
0.055,0.128
0.065,0.121
0.07500000000000001,0.114
0.08499999999999999,0.108
0.095,0.103
0.10500000000000001,0.098
0.11499999999999999,0.094
0.125,0.09
0.135,0.086
0.14500000000000002,0.083
0.155,0.079
0.165,0.076
0.175,0.073
0.185,0.069
0.195,0.066
0.20500000000000002,0.063
0.215,0.059
0.225,0.056
0.235,0.053
0.245,0.05
0.255,0.048
0.265,0.045
0.275,0.043
0.28500000000000003,0.041
