Parameter,Global_fit,Local_fit,Change
gna,242.22713234308537,242.55132849863216,0.3241961555467867
gkht,223.9308197673469,224.01621214955705,0.08539238221015921
gklt,35.088668895787094,35.08829729403111,-0.00037160175598671685
gh,5.317694880379223,5.315774926901166,-0.0019199534780574012
gka,71.41800023441587,71.47441338933159,0.056413154915716746
gleak,9.952752587854096,9.95634636379545,0.003593775941354238
stim_amp,0.13995020158054022,0.13487847639839387,-0.005071725182146353
cam,86.2271463606241,86.33740632369991,0.11025996307580499
kam,0.04182956746058007,0.04062865530380479,-0.0012009121567752787
cbm,5.718477845897223,5.512827274497401,-0.205650571399822
kbm,-0.03576055170080991,-0.03745120752849266,-0.001690655827682748
