Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-85.686,0
-0.09,-84.604,0
-0.08,-83.436,0
-0.07,-82.166,0
-0.06,-80.776,0
-0.05,-79.242,0
-0.04,-77.539,0
-0.03,-75.635,0
-0.02,-73.497,0
-0.01,-71.096,0
-0.0,-68.404,0
0.01,-65.346,0
0.02,-61.514,0
0.03,-57.356,10
0.04,-57.952,28
0.05,-58.178,38
0.06,-58.918,46
0.07,-57.241,52
0.08,-57.205,58
0.09,-55.581,64
0.1,-55.437,69
0.11,-54.115,73
0.12,-53.363,77
0.13,-52.955,81
0.14,-51.71,84
0.15,-50.614,87
0.16,-49.661,90
0.17,-48.174,93
0.18,-47.395,95
0.19,-46.653,97
0.2,-45.568,99
0.21,-44.222,100
0.22,-43.34,101
0.23,-42.317,102
0.24,-41.456,103
0.25,-40.375,103
0.26,-39.359,103
0.27,-38.446,103
0.28,-37.214,102
0.29,-36.64,19
0.3,-36.189,14
0.31,-35.987,12
0.32,-35.79,10
0.33,-35.595,9
0.34,-35.404,8
0.35,-35.215,8
0.36,-35.029,7
0.37,-34.846,7
0.38,-34.666,6
0.39,-34.487,6
