Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-83.854,0
-0.09,-82.769,0
-0.08,-81.612,0
-0.07,-80.376,0
-0.06,-79.051,0
-0.05,-77.628,0
-0.04,-76.1,0
-0.03,-74.463,0
-0.02,-72.722,0
-0.01,-70.887,0
-0.0,-68.978,0
0.01,-67.02,0
0.02,-65.034,0
0.03,-63.037,0
0.04,-61.037,0
0.05,-59.042,0
0.06,-57.069,0
0.07,-55.158,0
0.08,-53.379,0
0.09,-51.797,0
0.1,-50.439,0
0.11,-49.284,0
0.12,-48.298,1
0.13,-47.445,3
0.14,-46.278,50
0.15,-45.121,52
0.16,-45.421,5
0.17,-44.869,4
0.18,-44.36,3
0.19,-43.888,3
0.2,-43.446,3
0.21,-43.03,2
0.22,-42.637,2
0.23,-42.264,2
0.24,-41.907,2
0.25,-41.567,2
0.26,-41.24,2
0.27,-40.925,1
0.28,-40.622,1
0.29,-40.328,1
0.3,-40.043,1
0.31,-39.768,1
0.32,-39.5,1
0.33,-39.238,1
0.34,-38.983,1
0.35,-38.735,1
0.36,-38.492,1
0.37,-38.255,1
0.38,-38.022,1
0.39,-37.794,1
0.4,-37.57,1
0.41,-37.351,1
0.42,-37.135,1
0.43,-36.922,1
0.44,-36.714,1
0.45,-36.508,1
0.46,-36.305,1
0.47,-36.106,1
0.48,-35.909,1
0.49,-35.715,1
