SteadyStateVoltage,Current,Cell_ID
-0.0880036,-100,P4_iMNTB_02012023_S1C2
-0.0857418,-80,
-0.0837928,-60,
-0.0812259,-40,
-0.0782178,-20,
-0.0742011,0,
-0.0697303,20,
-0.0636783,40,
-0.0590233,60,
-0.0547326,80,
-0.0501001,100,
