Stimulus,SteadyState (nA or mV),Peak (nA or mV)
-100,,
-80,,
-60,,
-40,,
-20,,
0,,
20,,
40,,
60,,
80,,
100,,
120,,
140,,
160,,
180,,
200,,
220,,
240,,
260,,
280,,
