Mid_Current_nA,InputResistance_GOhm
-0.095,0.108
-0.08499999999999999,0.116
-0.07500000000000001,0.127
-0.065,0.138
-0.055,0.152
-0.045,0.169
-0.035,0.187
-0.025,0.208
-0.015,0.23
-0.005,0.248
0.005,0.259
0.015,0.265
0.025,0.266
0.035,0.266
0.045,0.262
0.055,0.242
0.065,0.202
0.07500000000000001,-0.527
0.08499999999999999,0.001
0.095,0.049
0.10500000000000001,0.089
0.11499999999999999,0.054
0.125,0.034
0.135,0.035
0.14500000000000002,0.043
0.155,0.012
0.165,0.098
0.175,0.095
0.185,0.056
0.195,0.077
0.20500000000000002,0.035
0.215,0.034
0.225,0.075
0.235,0.082
0.245,0.108
0.255,-0.025
0.265,0.134
0.275,0.047
0.28500000000000003,0.052
0.295,0.054
0.305,0.134
0.315,0.032
0.325,0.124
0.335,0.081
0.345,0.03
0.355,0.154
0.365,0.131
0.375,0.021
0.385,0.02
0.395,0.02
0.405,0.02
0.415,0.019
0.425,0.019
0.435,0.019
0.445,0.018
0.455,0.018
0.46499999999999997,0.018
0.475,0.018
0.485,0.017
