Mid_Current_nA,InputResistance_GOhm
-0.095,0.108
-0.08499999999999999,0.117
-0.07500000000000001,0.127
-0.065,0.139
-0.055,0.154
-0.045,0.171
-0.035,0.192
-0.025,0.217
-0.015,0.244
-0.005,0.273
0.005,0.301
0.015,0.333
0.025,0.386
0.035,0.465
0.045,-0.223
0.055,-0.143
0.065,0.009
0.07500000000000001,0.041
0.08499999999999999,0.084
0.095,-0.056
0.10500000000000001,0.109
0.11499999999999999,0.115
0.125,-0.022
0.135,0.101
0.14500000000000002,0.045
0.155,0.087
0.165,0.073
0.175,0.002
0.185,0.11
0.195,0.076
0.20500000000000002,0.06
0.215,0.034
0.225,0.11
0.235,0.065
0.245,0.064
0.255,0.089
0.265,0.011
0.275,0.105
0.28500000000000003,0.11
0.295,0.101
0.305,0.02
0.315,0.138
0.325,0.043
0.335,0.168
0.345,0.141
0.355,0.218
0.365,0.021
0.375,0.021
0.385,0.021
0.395,0.02
0.405,0.02
0.415,0.02
0.425,0.019
0.435,0.019
0.445,0.019
0.455,0.019
0.46499999999999997,0.018
0.475,0.018
0.485,0.018
