Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-85.674,0
-0.09,-84.593,0
-0.08,-83.424,0
-0.07,-82.153,0
-0.06,-80.76,0
-0.05,-79.221,0
-0.04,-77.507,0
-0.03,-75.586,0
-0.02,-73.42,0
-0.01,-70.979,0
-0.0,-68.252,0
0.01,-65.242,0
0.02,-61.909,0
0.03,-58.05,0
0.04,-53.395,0
0.05,-55.627,16
0.06,-57.056,35
0.07,-56.968,42
0.08,-56.554,48
0.09,-55.715,53
0.1,-56.276,57
0.11,-55.19,61
0.12,-54.038,65
0.13,-54.255,68
0.14,-53.244,72
0.15,-52.797,75
0.16,-51.925,78
0.17,-51.195,81
0.18,-51.178,83
0.19,-50.076,86
0.2,-49.315,88
0.21,-48.711,90
0.22,-48.374,92
0.23,-47.274,94
0.24,-46.627,96
0.25,-45.991,98
0.26,-45.1,99
0.27,-44.991,101
0.28,-43.943,102
0.29,-42.842,103
0.3,-41.827,104
0.31,-41.629,105
0.32,-40.249,105
0.33,-39.822,106
0.34,-38.138,105
0.35,-36.733,103
0.36,-34.548,11
0.37,-34.334,8
0.38,-34.124,6
0.39,-33.918,6
0.4,-33.715,5
0.41,-33.516,4
0.42,-33.319,4
0.43,-33.125,4
0.44,-32.935,3
0.45,-32.747,3
0.46,-32.561,3
0.47,-32.378,3
0.48,-32.198,3
0.49,-32.019,2
