Time (ms),Signal (nA)
0.0,0.014788220265271502
0.02,-0.0006735131056367688
0.04,0.011695873591089848
0.06000000000000001,0.003965006905635714
0.08,-0.0022196864427275944
0.1,-0.008404379791090903
0.12000000000000002,-0.011496726465272554
0.14,-0.014589073139454211
0.16,-0.016135246476545035
0.18000000000000002,-0.019227593150726686
0.2,-0.013042899802363379
0.22,-0.011496726465272554
0.24000000000000005,-0.009950553128181728
0.26,-0.005312033116909245
0.28,-0.0037658597798184198
0.30000000000000004,0.005511180242726543
0.32,0.008603526916908194
0.34,0.008603526916908194
0.36000000000000004,0.008603526916908194
0.38,0.005511180242726543
0.4,-0.0022196864427275944
0.42000000000000004,-0.0037658597798184198
0.44,-0.008404379791090903
0.46,-0.009950553128181728
0.4800000000000001,-0.009950553128181728
0.5,-0.008404379791090903
0.52,-0.011496726465272554
0.54,-0.005312033116909245
0.56,0.0024188335685448887
0.58,0.003965006905635714
0.6000000000000001,0.010149700253999023
0.62,0.011695873591089848
0.64,0.008603526916908194
0.6600000000000001,0.005511180242726543
0.68,0.003965006905635714
0.7000000000000001,0.0024188335685448887
0.7200000000000001,0.003965006905635714
0.7400000000000001,0.013242046928180677
0.76,0.008603526916908194
0.7800000000000001,0.011695873591089848
0.8,0.010149700253999023
0.8200000000000001,-0.0006735131056367688
0.8400000000000001,0.010149700253999023
0.8600000000000001,0.008603526916908194
0.88,0.007057353579817368
0.9000000000000001,0.010149700253999023
0.92,0.007057353579817368
0.9400000000000001,0.003965006905635714
0.9600000000000002,0.003965006905635714
0.9800000000000002,-0.0006735131056367688
1.0,-0.0022196864427275944
1.02,-0.0037658597798184198
1.04,-0.008404379791090903
1.0600000000000003,-0.005312033116909245
1.08,-0.005312033116909245
1.1,-0.0037658597798184198
1.12,-0.011496726465272554
1.1400000000000001,0.0024188335685448887
1.16,0.0024188335685448887
1.1800000000000002,-0.0022196864427275944
1.2000000000000002,0.0008726602314540632
1.2200000000000002,0.003965006905635714
1.24,0.0024188335685448887
1.26,0.003965006905635714
1.28,0.010149700253999023
1.3000000000000003,0.010149700253999023
1.3200000000000003,0.011695873591089848
1.34,0.011695873591089848
1.36,0.017880566939453155
1.3800000000000001,0.017880566939453155
1.4000000000000001,0.014788220265271502
1.42,0.011695873591089848
1.4400000000000002,0.008603526916908194
1.4600000000000002,0.008603526916908194
1.4800000000000002,0.003965006905635714
1.5,-0.0006735131056367688
1.52,-0.005312033116909245
1.54,-0.005312033116909245
1.5600000000000003,-0.0068582064540000705
1.58,-0.013042899802363379
1.6,-0.013042899802363379
1.62,-0.016135246476545035
1.6400000000000001,-0.016135246476545035
1.6600000000000001,-0.013042899802363379
1.6800000000000002,-0.011496726465272554
1.7000000000000002,-0.013042899802363379
1.7200000000000002,-0.008404379791090903
1.7400000000000002,-0.0022196864427275944
1.76,-0.0037658597798184198
1.78,-0.0022196864427275944
