Time (ms),Sweep 0,Sweep 1,Sweep 2,Sweep 3,Sweep 4,Sweep 5,Sweep 6,Sweep 7,Sweep 8,Sweep 9,Sweep 10,Sweep 11,Sweep 12,Sweep 13,Sweep 14,Sweep 15,Sweep 16,Sweep 17,Sweep 18,Sweep 19
0.0,-0.028886740418259144,-0.03201634428128636,0.022168027363109445,-0.014604818027460343,-0.04711792482668753,-0.032537944925124226,0.006718713055149699,-0.01455514177566626,0.02528521216318815,0.0036139473180195236,0.0009811059729331363,0.00036015282550709994,-0.010196050680735492,0.0008693344063964483,0.021174502327227795,-0.00639581741848816,-0.031246362378478082,-0.02028032979493431,-0.011177156653668623,0.0035518520032769207
0.02,-0.007240313698987569,-0.03201634428128636,0.03453741405983606,-0.020789511375823654,-0.03165619145577926,-0.0541843716443958,0.009811059729331356,-0.020739835124029566,0.009823478792279875,0.006706293992201181,0.0009811059729331363,0.00036015282550709994,-0.013288397354917146,0.0008693344063964483,0.024266849001409446,-0.021857550789396427,-0.04670809574938635,-0.007910943098207694,-0.004992463305305314,0.009736545351640235
0.04,-0.010332660373169223,-0.04129338430383132,0.028352720711472754,-0.008420124679097035,-0.01000976473650768,-0.06036906499275911,0.006718713055149699,-0.030016875146574525,0.016008172140643182,0.0252603740372911,0.013350492669659753,-0.002732193848674551,0.002173336015991124,0.0008693344063964483,0.030451542349772747,-0.034226937486123044,-0.06216982912029462,-0.007910943098207694,0.0011922300430579943,0.02210593204836684
0.06000000000000001,-0.0010556203506242605,-0.025831650932923052,0.022168027363109445,-0.0053277780049153815,-0.022379151433234296,-0.0541843716443958,0.006718713055149699,-0.017647488449847912,0.022192865489006484,0.01907568068892779,0.019535186018023055,-0.015101580545401169,0.002173336015991124,-0.0022230122677852028,0.024266849001409446,-0.028042244137759735,-0.05907748244611297,0.019920176969427193,-0.0019001166311236632,0.028290625396730155
0.08,0.029867846391192276,-0.016554610910378093,0.03144506738565441,-0.0022354313307337273,-0.01928680475905264,-0.06346141166694076,0.0005340197067863909,-0.023832181798211217,0.02528521216318815,0.02835272071147275,0.010258145995478096,-0.012009233871219514,-0.010196050680735492,-0.02077709231287513,0.021174502327227795,-0.043503977508668,-0.05598513577193131,0.007550790272700574,0.01356161673978461,0.01901358537418519
0.1,0.008221419671920699,-0.013462264236196437,0.0036139473180195206,-0.0022354313307337273,-0.0007327247139627179,-0.04490733162185084,-0.011835366989940222,-0.005278101753121299,0.012915825466461526,0.02216802736310945,0.019535186018023055,-0.024378620567946128,-0.004011357332372185,-0.011500052290330168,0.01498980897886448,-0.031134590811941386,-0.05289278909774965,0.0013660969243372658,0.004284576717239645,0.031382972070911806
0.12000000000000002,0.014406113020284007,0.005091815808893484,0.0005216006438378696,0.003949262017629581,-0.0007327247139627179,-0.047999678296032494,-0.018020060338303532,0.003998938269423666,0.012915825466461526,0.009798640666382832,0.016442839343841404,-0.024378620567946128,-0.007103704006553841,-0.014592398964511819,0.01498980897886448,-0.00639581741848816,-0.03433870905265973,0.007550790272700574,0.019746310088147912,0.01901358537418519
0.14,0.008221419671920699,0.005091815808893484,0.0005216006438378696,0.007041608691811232,-0.01000976473650768,-0.051092024970214145,-0.030389447035030145,-0.005278101753121299,0.003638785443916566,-0.0025707460303437844,0.031904572714749675,-0.027470967242127785,-0.010196050680735492,-0.026961785661238438,0.011897462304682829,-0.0033034707443065025,-0.012692282333388157,-0.03264971649166092,0.01046927006560296,0.025198278722548505
0.16,0.008221419671920699,0.02364589585398341,0.009798640666382828,0.007041608691811232,-0.02547149810741595,-0.051092024970214145,-0.024204753686666837,0.010183631617786975,0.006731132118098224,-0.011847786052888745,0.016442839343841404,-0.021286273893764477,0.008358029364354433,-0.014592398964511819,0.01498980897886448,0.01215826262660176,-0.012692282333388157,-0.01718798312075265,0.022838656762329563,0.0066441986774585715
0.18000000000000002,0.011313766346102356,0.02983058920234671,0.025260374037291096,0.007041608691811232,-0.03165619145577926,-0.032537944925124226,-0.024204753686666837,0.022553018314513586,-0.014915294601173355,-0.018032479401252053,0.019535186018023055,-0.00891688719703786,0.03309680275780766,-0.017684745638693475,-0.0035642710662254387,0.015250609300783423,0.0027694510375201116,-0.014095636446571002,0.01356161673978461,0.01592123870000354
